Cognitive Distortion,Generated Story,Generative Model,Gemini Consistency,Gemini Accuracy,Gemini Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
흑백 사고,"[여자/15세]
---
내 시험 점수가 기대에 못 미치자, 앞으로 모든 시험에서 실패할 거라고 생각했어. 선생님께서 나를 무능하다고 생각하시고, 친구들도 나를 피하게 될 거야. 나는 완전히 실패자가 된 것 같아.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/16세]
---
오늘 학교에서 친구에게 실수를 저질렀어. 아 친구가 쓰러져 병원에 실려갔는데, 만약 친구가 위험한 상황이라면 내가 평생 죄책감에 시달리게 될 거야. 앞으로 아무도 날 용서하지 않을 것 같아.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/16세]
---
학교에서 또 실수를 했어. 이제 선생님들도 날 믿지 않을 거야. 내가 이렇게 엉망이라니 완전히 실패했다고 봐야겠어. 이대로 계속 실패만 할 줄 알겠어. 앞으로 아무런 기회도 없을 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/16세]
---
어머니께서 술을 드시면 제가 무엇을 해도 틀렸어요. 집에 있어서도 마음이 편하지가 않아요. 저는 지금 완전히 실패자 같은 기분이 들어요.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/14세]
---
벌레를 주워먹었다니, 이제 나는 친구의 동생을 완전히 포기해야 할 것 같아. 선생님께 말씀드려도 바뀌지 않으니 앞으로는 우리 반 모두가 나를 피하겠지. 이제 그 동생과 함께 있기는 싫어질 것 같아.",Claude,2,3,2,2,3,2
흑백 사고,"[여자/15세]
---
시험에서 한두 개 틀려서 그냥 실패자가 되고 말았어. 앞으로 영영 좋은 성적을 받을 수 없을 거야. 계속 공부해도 이렇게 밖에 못하니 결국 인생도 망친 셈이네.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/17세]
---
수능 끝났지만 커밍아웃하면 모두가 날 비난할 거야. 동성애자라니 내가 완전히 잘못된 사람이 된 것 같아. 이제 모든 게 끝장난 거 같아. 가족들도 날 버릴 것 같아.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/15세]
---
오늘 베프와 놀고 있었는데, 갑자기 다른 친구가 전화해서 약속을 지키지 않았다고 화를 냈어. 내가 잘못한 게 없는데 그 친구가 날 쓰레기라고 부르니 완전히 끝장났어. 이제 그 친구와는 아예 다시 안 놀 거야.",Claude,2,2,3,2,3,2
흑백 사고,"[여자/17세]
---
이 건축학과에 들어가려면 완벽한 스펙이 필요할 거야. 다른 대학은 고려할 가치가 없어 보이네. 이 대학에 들어가지 못하면 내 꿈은 모두 틀어지고 말 거야.",Claude,2,3,3,2,3,3
흑백 사고,"[여자/17세]
---
수학 시험에서 작은 실수를 했는데, 이제 나는 완전 실패자가 되고 말았어. 모든 게 더 이상 의미 없어 보이고, 앞으로도 이렇게 실수할 거야. 더는 친구들과 즐겁게 지낼 수 없을 것 같아.",Claude,2,2,2,2,3,2
흑백 사고,"[여자/15세]
---
내 친구들은 요새 자주 세 명만 다니더라. 예전엔 함께 즐겁게 놀았는데, 요즘엔 내가 끼어들면 그냥 무시해요. 내가 나쁜 사람이 된 거겠지. 앞으로는 절대 그들과 놀지 않아야겠어.",Claude,2,2,3,2,3,2
흑백 사고,"[여자/14세]
---
나는 사귀기 시작한 친구와 관계가 좋지 않다. 그 친구는 장난을 좋아하지만 때로 내게 삐치곤 한다. 우리 관계가 불편해지면 영원히 멀어질까 봐 걱정돼. 이런 친구도 도저히 받아들일 수 없어.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/16세]
---
기숙사에서 공부를 해야 하니 집에 가고 싶지만, 집에 가면 공부를 전혀 하지 않을 것 같아 걱정됩니다. 결국 어느 곳에서도 제대로 공부할 수 없을 것 같아 완전히 포기하고 싶어요.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/15세]
---
시험에서 생각보다 점수를 받지 못해 완전히 실패했다고 생각해요. 이제 고등학교에 갈 수 있을지 걱정되고 앞으로 모든 일이 다 잘 안될 것 같아요. 공부하는 것도, 친구들과 어울리는 것도 모두 무의미하게 느껴져요.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
이번 기말고사가 중요한데, 성적이 너무 낮으면 앞으로도 계속 실패할 거야. 공부를 열심히 하고 있지만 점수가 생각보다 잘 나오지 않아서 걱정이 돼. 이번에 망치면 내 꿈도 이루지 못할 거 같아.",Claude,2,2,3,3,3,3
흑백 사고,"[여자/15세]
---
중학교에서 계속 공부를 못해 검정고시를 준비하려 해요. 하지만 원서 접수 기한이 다가오는데 모든 게 어려워 보이네요. 이렇게 되면 아예 공부를 포기해야 할까요? 앞으로 전부 다 실패할 거예요.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/15세]
---
시험에서 점수를 잘 받지 못하면 이제 모든 게 끝이야. 공부를 해도 소용없어. 앞으로도 계속 실패할 것이 뻔해. 이렇게 무능한 내가 정말 부끄럽고 한심해 보인다.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/16세]
---
시험에 떨어지면 완전히 쓰레기 인생이 될 거야. 이번에 망쳐버리면 앞으로 어떻게 살아야 할지 모르겠어. 그 누구도 날 인정해주지 않을 거야. 완벽하게 해내지 못해서 죄송해요.",Claude,2,2,2,2,3,2
흑백 사고,"[여자/16세]
---
고등학교에 입학하면서 점점 내가 작아지는 것 같아요. 활발했던 내 모습은 사라지고, 모르는 사람을 만나는 것도 무섭고 겁이 납니다. 이러다가 친구들도 멀어질까 봐 걱정돼요.",Claude,2,3,3,3,3,3
흑백 사고,"[여자/17세]
---
친구들이 나를 무시하는 것 같아. 어제도 내 말을 듣지 않더라. 이제 모든 친구들이 나를 싫어하나 봐. 앞으로 영영 혼자일 수밖에 없겠지.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/15]
---
방학숙제를 하느라 고민이다. 선생님이 되고 싶지만, 지식 IN에 글을 올려도 도움이 없어서 포기해야 할까? 선생님이 되는 건 꿈이었는데, 이제는 모든 것이 실패한 것 같다.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/15세]
---
학교에 가면 늘 졸려서 집중도가 떨어져요. 공부도 제대로 못하고 점점 성적이 나빠지니 앞으로 완전히 실패자가 될 거예요. 이대로라면 고등학교에서도 어려움을 겪을 거라 생각하니 걱정됩니다.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/16세]
---
요즘 아무도 나를 이해하지 못해. 완벽해야 한다는 부모님의 기대를 못 이뤄 영 실패자 같아. 친구들도 나를 따돌리니 앞으로 모든 게 다 무너져 버릴 것 같아.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/16세]
---
친구와 싸웠는데 과자파티에 가고 싶지 않아. 그 친구가 계속 연락해도 화가 너무 나서 대화하고 싶지 않아. 화해하면 다시 신뢰할 수 없을 거야. 앞으로는 그 친구와 어울리지 말아야겠어.",Claude,2,3,3,2,2,2
흑백 사고,"[여자/15세]
---
내가 시험에서 A를 받지 못했으니 이제 공부하는 게 아예 의미가 없어졌어. 앞으로 성적이 계속 낮을 거고 대학에도 못 갈 것 같아. 이렇게 되면 내 인생은 완전히 망가지는 거겠지.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/18세]
---
수시 합격을 못했다니 이제 끝이야. 정시에서도 붙지 못하면 내 인생은 완전히 망가져 버릴 거야. 그냥 실패자로 살아갈 수밖에 없어.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
전학 온 지 몇 주 되자 아이들이 저를 피하고 괴롭히네요. 선생님께 말씀드렸지만 소용없었습니다. 이제 저는 완전히 실패한 것 같아요. 앞으로 절대 친구를 사귈 수 없을 거예요.",Claude,2,2,3,2,3,2
흑백 사고,"[여자/16세]
---
이번 시험에서 C를 받으니 이제 나는 실패자가 된 것 같아. 내가 좋아하는 대학에 갈 수 없을 거고, 앞으로의 미래도 암울할 뿐이야. 이제 아무 희망도 없어 보여.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/17세]
---
친구가 내 옆에서 계속 나를 놀리는데, 이제 모든 게 끝장났어. 앞으로 이 친구와는 절대 어울리지 않을 것이다. 다른 모든 친구들도 나를 싫어할 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/17세]
---
운동으로 살 빼기가 쉽지 않아 포기할 수밖에 없어. 이 목표를 이루지 못하면 실패자가 될 거야. 다이어트에 성공한 친구들을 보면 그들만큼 잘할 수 없다는 생각이 듭니다.",Claude,2,2,2,2,3,2
흑백 사고,"[여자/16세]
---
아빠가 직장 때문에 갑자기 제주에서 육지로 이사를 가셔서 친구들을 못 만나게 됐어요. 제주의 좋은 학교에 갈 수 있는 기회도 놓치게 되어 너무 속상해요. 이제 제가 가능한 좋은 고등학교도 갈 수 없게 되었네요.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/16세]
---
우리반 친구 길동이 좋아했지만, 그가 너무 티나게 좋아해서 다른 친구들이 나를 피하기 시작했어. 이제 내 친구가 하나도 없게 되어 버렸네. 이런 식이면 앞으로도 영원히 혼자일 거야.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
화장품이 다 떨어져서 좋은 제품을 찾으려 했지만, 마음에 드는 게 없다. 새로운 화장품을 고르지 못하면 내 피부는 영원히 깨끗해질 수 없을 것 같아. 이렇게 실패하면 나는 결국 외모가 망가진 사람이 될 거야.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
시험 점수가 생각보다 좋지 않자, 아빠는 나를 ""희망 없는 사람""이라고 부르셨어요. 중학교 졸업하면 기술이나 배우라며 정말 상처주는 말씀만 하셨죠. 앞으로 모든 시험도 다 못 볼 것 같아 너무 좌절돼요.",Claude,2,3,3,2,3,3
흑백 사고,"[남자/15세]
---
나는 친구와 싸웠어. 친구가 먼저 날 건드렸지만, 나도 그 뒤에 공격했어. 지금 친구 손가락이 부러졌다고 하더라. 이제 우리는 영원히 원수가 된 거야. 앞으로 그 친구랑은 절대 어울리지 않을 거야.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
친구들은 늘 내 무표정한 얼굴을 지적해요. 어떤 때는 눈을 더 크게 뜨라고 해요. 부모님께서도 내가 항상 그 얼굴이라며 혼내십니다. 하지만 이게 내 진짜 모습인데 도대체 왜 그렇게 보이나요?",Claude,3,3,3,3,2,3
흑백 사고,"[여자/15세]
---
매일 그 친구가 저를 귀찮게해요. 제 친구가 좋아하는 사람이 있지만, 그 사람은 제가 보기에 완전히 안 어울려요. 이렇게 되면 절대 행복할 수 없을 거예요.",Claude,2,2,2,2,2,2
흑백 사고,"[여자/14세]
---
아직 진로를 찾지 못했어. 과학을 좋아하지만 월급이 낮으면 하기 싫어. 시험에서 하나라도 틀리면 실패자가 되는 건 아닌데, 그렇게만 생각하게 돼.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
친구가 다른 애들과 어울리는 걸 보니 내가 완전히 잃어버린 거 같아. 학교생활도 재미가 없고 예전만큼 즐겁지 않아. 이제 그 친구를 다시 데려올 방법은 없는 거 같아.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15]
---
시험에서 조금만 틀렸다고 내가 완전히 실패한 거라고 생각해. 이러다 대학도 못 가고 인생도 망쳐버릴까봐 너무 걱정돼. 모든 게 다 잘못되는 것 같아.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/17세]
---
이 과제를 망치면 나는 완전히 실패자가 될 거야. 내가 한 작은 실수들 때문에 선생님이 나를 무능하다고 생각할 것 같아. 이번에 또 실수하면 앞으로 모든 과제에서 실패하리라.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
중학교 3학년 때부터 괴롭힘을 당하고 있어. 그 애들이 날 심하게 대하니 이제 평생 소외될 거야. 내가 가장 나쁜 사람이 된 것 같아. 점점 더 못살아갈 것 같아.",Claude,2,3,2,2,3,2
흑백 사고,"[여자/18세]
---
살이 늘어난 건 내가 완전히 실패한 거야. 매일 줄넘기를 해도 살이 쉽게 빠지질 않아. 이대로라면 영원히 살이 빠지지 않을 거야. 식단도 조절해봤지만 소용없어. 나는 결국 살빼기에 실패할 수밖에 없어.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/16세]
---
세계적으로 유명한 도서관을 찾아야 하는데, 정말 어려워 보여. 내가 도서관을 잘 찾지 못하면 교수님께 혼날 거야. 이번에 또 실패하면 학점에 큰 타격이 있을 거야. 앞으로 내 인생은 완전히 망가질 것 같아.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
내가 실수한 한 가지로 인해 내 꿈이 모두 무너질 것 같아. 이 시험에서 떨어지면 아이디어컨설턴트가 되는 건 포기해야 할 거야. 창의성은 생명이라고 했지만 이렇게 잘 못하면 성취감도 높을 수 없어.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/15세]
---
오늘 친구가 나를 무시했어. 이제 다른 친구들도 나를 받아들여주지 않을 거야. 다들 나를 싫어할 거라고 생각하니 너무 두려워. 이제 학교에 가기 싫어졌어.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
원래는 실업계 진학을 생각했는데 엄마의 반대로 인문계에 입학했어. 처음엔 후회했지만, 이제는 실업계로 전학하기가 어려워서 포기해야 할 것 같아. 나는 결국 인생의 실패자가 된 것 같아.",Claude,2,3,2,2,3,2
흑백 사고,"[여자/16세]
---
선생님이 누군가가 욕을 썼다고 하시자 전교생이 모두 나쁜 애들이라고 생각했어. 내가 그 일을 막지 못했다니 완전히 실패한 거 같아.",Claude,2,3,2,2,3,2
흑백 사고,"[여자/16세]
---
이번 시험에서 실수를 했다니 나는 완전히 실패자가 된 것 같아. 앞으로 모든 시험에서도 실패할 거야. 선생님과 부모님도 나를 포기하실 거고, 친구들도 더 이상 나를 인정하지 않을 것 같아. 이제 나에게는 미래가 없어.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
우리 부모님이 이혼하실 것 같아요. 엄마가 다른 남자와 바람을 피우는 것 같아 너무 슬프고 절망적이에요. 이제 모든 것이 끝나버린 것 같아요. 내 인생은 완전히 엉망이 되었어요.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/16]
---
친구가 계속 장난치네. 이건 용납할 수 없어. 뭔가 강력한 조치를 취해야 해. 내가 그 친구를 막 때리거나 화내버리면 해결될 것 같지만, 나도 문제가 될 수 있어. 다른 좋은 방법이 없는 걸까? 이 상황이 영영 해결되지 않을 것 같아.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
내가 중간고사에서 낮은 점수를 받았어. 완전 실패자가 된 것 같아. 이제 대학에 갈 수 없을 거고, 좋은 직장도 구할 수 없을 거야. 모든 게 엉망이 되버렸어.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
학교에 늦게 도착했지만 전교회장이라서 혼나지 않았다. 하지만 아버지와의 대화 시간이 없어 점점 더 멀어지고 있다. 이제 모든 게 엉망이 되어 가족과 멀어질 수밖에 없다.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
경찰이 되는 것이 내 유일한 꿈이었다. 그런데 시험을 못 봤으니 앞으로 모든 일이 다 잘못될 거야. 이제 나는 아무것도 할 수 없는 실패자가 되었어.",Claude,2,2,2,2,3,3
흑백 사고,"[여자/16세]
---
예전에는 정말 친하게 지냈는데, 어떤 일이 생긴 뒤로 서로 어색해졌어. 다시 예전처럼 돌아가고 싶지만, 이 관계는 완전히 망가졌다고 생각해. 내가 뭘 해도 소용없을 거야.",Claude,2,2,3,2,2,3
흑백 사고,"[여자/15세]
---
어제 친구와 큰 싸움을 했어. 나는 실수로 남자애들을 초대했는데, 친구가 너무 화났어. 이제 우리 4년 동안 쌓아온 우정이 모두 무너진 것 같아. 내가 이런 실수를 저질러서 완전한 실패자가 된 것 같아.",Claude,2,3,3,2,3,3
흑백 사고,"[여자/15세]
--- 
시험에서 작은 실수를 했는데, 이제 난 완전히 실패자가 되었어. 선생님도 나를 포기하셨고, 친구들도 나를 더 이상 인정하지 않을 거야. 이제 나에게는 미래가 없어 보여.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
이 프로젝트에서 조금이라도 실수했다면 나는 완전히 실패작이 되었다. 친구들이 나를 무시한다고 생각하니 앞으로 모든 사람들이 나를 싫어할 것 같다. 긍정적인 피드백은 그저 예의상 하는 말일 뿐이라고 확신한다.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/16세]
---
내 친구가 힘들어하고 있어요. 죽으려고 하고 자해까지 하고 있다고 합니다. 제가 그 친구를 만날 수 없어 속상해요. 어떻게든 위로의 말을 해주고 싶지만, 제가 도와줄 수 있는 방법이 없어 보입니다. 이렇게 도움을 주지 못하는 내가 무능력하게 느껴집니다.",Claude,3,2,3,3,2,3
흑백 사고,"[여자/17세]
---
대학 면접장에서 떨리는 마음에 면접관님께 그저 평범한 말만 내뱉어서 실패했다고 생각해. 이제 이 기회를 다시 잡을 수 없겠지, 나는 영원히 대학에 가지 못할 것 같아.",Claude,2,2,2,2,2,3
흑백 사고,"[여자/15세]
---
친구의 외모를 너무 깐깐하게 비교해. 한 친구는 완벽하고 다른 친구는 별로라고 생각하는데, 사실 둘 다 자신만의 매력이 있어. 하지만 나는 오직 하나의 기준에만 집착하고 있는 거 같아.",Claude,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
그 남자가 내 베프를 좋아한다니 정말 끔찍해. 이제 내게는 아무런 희망도 없어. 이대로 영원히 혼자일 수밖에 없겠지. 내 인생은 완전히 망가졌어.",Claude,2,3,2,2,3,3
흑백 사고,"[여자/15세]
---
우리 반 남자애가 나를 좋아하는 것 같다고 했지만, 나는 그런 게 불편해. 그리고 내가 그 애를 좋아할 리가 없어. 내가 못생겨서 그런 거겠지. 앞으로 이 애가 나에게 말 걸면 피해야겠다.",Claude,2,2,2,2,2,3
