Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gpt Consistency,Gpt Accuracy,Gpt Fluency
성급한 판단,"[남자/17]
---
걔가 웃으며 나한테 말 걸었는데, 왠지 험악해 보였다.  장난치는 건가? 아니면 얕보는 건가?  평소처럼 굴면 나만 바보 되는 건 아닐까?  괜히 말 섞었다가 왕따 당하면 어쩌지?  괜히 불안해졌다.
",GEMINI,2,3,3,3,3,3
과잉 일반화,"[여자/17]
---
새 학기 첫날, 낯선 반 친구들은 모두 친한 사이처럼 보였다.  나 혼자만 떨어져 앉아,  말도 못 걸겠고,  점심시간도 혼자였다.  모두 나를 따돌리는 것 같았다. 아무도 나와 친구가 되려 하지 않을 거야.  이 학교 생활은 망했어.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[남자/17]
---
고2가 되었는데, 같은 반인 민준이 때문에 벌써부터 힘들다.  작년처럼 또 수업 분위기 망치겠지.  선생님들도 또 수업 시간 다 날리실 거고.  결국엔 또 내 성적만 떨어질 테고.  이번에도 망칠 거 같아.  다시 중학교 때처럼…
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/17세]
---
친구들이 수학여행 간다길래 나도 가고 싶었는데… 혼자 남는 게 너무 싫어. 아무도 날 찾지 않을 것 같고, 재밌는 일도 없을 것 같아.  다들 즐거운 사진을 올릴 텐데, 나만 빼고…  결국 혼자 방에만 있겠지.
",GEMINI,3,3,3,3,3,3
'해야 한다' 진술,"[여자/17세]
---
자사고 입학 후, 밤샘 공부가 일상이 됐다.  수학 시험 점수가 낮아 절망스럽다.  모든 걸 잘해야 한다는 압박감에 짓눌린다.  잠도 제대로 못 자고, 친구들과 어울릴 시간도 없다.  이대로는 안 될 것 같다.  내가 이걸 감당할 수 있을까?  망칠까 봐 두렵다.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/15세]
---
어제 수학 시험을 망쳤어.  100점 맞은 애들이 부러워.  내가 못해서 그런 건지, 문제가 너무 어려워서 그런 건지 알 수가 없어.  다음 시험도 망칠 것 같아.  내 성적은 항상 이럴 거야.  결국, 나는 아무것도 못하는 쓸모없는 사람일 거야.
",GEMINI,2,3,2,2,3,3
감정적 추론,"[여자/15세]
---
수학 시험 망쳤어.  내 답이 틀렸다는 걸 알고 울컥했어.  분명히 쌤이 설명해줬는데…  다 내 탓이야.  점수 낮으면 친구들이 나를 무시할 거 같아.  앞으로도 계속 놀림받을까 봐 무서워.  내 인생 망했어.
",GEMINI,2,2,3,2,3,3
부정적 편향,"[여자/17세]
---
시험 성적이 잘 나왔는데도 기분이 좋지 않아.  내 점수가 1등이 아니니까.  1등한 애는 공부도 잘하고 인기도 많아. 나는 그냥…  평범하고,  모든 게 부족해.  친구들은 다들 잘나가는데 나는 왜 이럴까.  내가 뭘 잘못한 걸까.  나는 아무짝에도 쓸모없는 사람인가 봐.
",GEMINI,2,2,2,2,3,3
성급한 판단,"[여자/18세]
---
고3인데 배가 너무 나왔어.  고1 때는 날씬했는데, 공부만 하면 살이 찌는 건가 봐.  이대로는 옷도 못 입겠어.  다른 애들은 다 날씬한데, 나만 이렇게 뚱뚱해 보여.  아마 모두 나를 이상하게 볼 거야.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/14]
---
수현이랑 같은 반이 됐는데, 걔는 유진이랑만 붙어 다녀.  내가 먼저 말 걸어도 시큰둥해.  아마 나랑 친해질 생각이 없는 거야.  내가 뭘 잘못했나?  나랑 놀아주지 않는 건 내가 부족해서겠지.  결국, 난 혼자인 거고.
",GEMINI,2,3,2,3,3,3
감정적 추론,"[여자/17세]
---
시험 결과가 안 좋았어.  내가 공부를 제대로 안 한 탓이겠지.  다른 애들은 잘 했을 텐데, 난 망했어.  분명 재수강해야 할 거야.  앞으로도 계속 이럴 거 같아.  내 미래는 망한 거야.
",GEMINI,2,3,2,2,2,3
흑백 사고,"[남자/17세]
---
선생님이 꿈을 정하라고 했다.  운동선수는 이미 늦었다고 하셨다.  공부만이 살길인가.  그럼 대학은? 취업은?  아무것도 안 될 것 같다.  나는 실패할 거야.  다 망했어.
",GEMINI,2,3,2,2,3,3
확대와 축소,"[여자/15세]
---
내가 좋아하는 선배는 인기가 많아.  내가 뭘 잘못했을까?  아무리 노력해도 소용없을 것 같아.  결국 친구도 못 사귀고 혼자 남겠지.  나랑은 안 맞을 거야.  모두 다 나 때문이야.
",GEMINI,2,2,2,2,3,3
성급한 판단,"[여자/17세]
---
어제 영어 선생님이랑 눈이 마주쳤는데, 휙 돌아서셨어.  내가 뭘 잘못했나?  혹시 내 옷차림이 이상했던 걸까?  다른 애들은 다 인사 받던데…  나만 싫어하시는 걸까?  괜히 인사했나 후회돼.  점심시간에 친구들이랑 같이 가야겠어.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[남자/15세]
---
숙제를 다 못 했어. 선생님이 화낼 게 뻔해.  벌써부터 심장이 쿵쾅거려.  분명 엄청 혼날 거야.  아마 내일 아침부터 엄청 힘들겠지.  점심시간에 친구들이 놀릴까봐 걱정이다.  망했어, 완전히 망했어.
",GEMINI,3,3,2,3,3,3
개인화,"[남자/15]
---
엄마랑 또 싸웠다.  내가 방 청소를 덜 했으니깐 화내는 거겠지. 동생이랑 싸우는 것도 내 잘못 같다.  엄마가 힘든 건 다 내 탓인가. 학교에서도 친구들이 나랑 잘 안 놀아. 내가 싫어서 그런 걸까.  모든 게 다 내 탓인 것 같아.
",GEMINI,3,3,2,3,3,3
낙인찍기,"[여자/18]
---
점심시간, 친구들이 수다 떨며 웃는 모습이 역겹게 느껴졌다.  내가 끼어들 자리가 아니라는 생각에 혼자 도시락을 먹었다.  모두 나를 싫어할 거야.  내가 먼저 다가가는 건 역겹고,  그냥 혼자 있는 게 나을 것 같다.  어차피 난 쓸모없는 사람이니까.
",GEMINI,2,2,2,3,3,3
성급한 판단,"[여자/14]
---
수학 시험에서 80점을 받았다.  내가 틀린 문제들을 보니, 모두 쉬운 문제였다.  다른 애들은 다 잘 봤을 거야.  난 역시 멍청이야.  망했어.  모두 나를 바보 취급할 거다.
",GEMINI,2,2,2,3,3,3
'해야 한다' 진술,"[여자/16세]
---
실수하면 혼날까봐 발표 준비가 힘들어.  내가 다 잘해야 한다는 압박감에 짓눌려.  밤새 연습해도 완벽하지 않을까봐 불안해.  결과가 좋지 않으면 내 탓일 거야.  모든 책임은 내게 있고, 나는 항상 최선을 다해야 해.  숨 막혀.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/16세]
---
친구들이랑 사진 찍었는데, 내 웃는 모습이 어색해 보여.  입꼬리가 한쪽으로 올라가서 비웃는 것 같고,  다들 내 표정 이상하다고 생각할까 봐 걱정돼.  괜히 혼자 사진 찍은 걸 후회해.  다시는 사진 안 찍어야지.
",GEMINI,3,3,3,3,3,3
긍정 축소화,"[여자/15]
---
시험 성적이 괜찮았지만,  반에서 1등은 아니었어.  그냥 평범하게 잘했을 뿐인데,  왠지 모르게 불안해.  내가 잘하는 게 뭐지?  앞으로 뭘 해야 할지,  도무지 감이 안 잡혀.  나는 특별하지 않아.
",GEMINI,3,3,2,3,3,3
성급한 판단,"[여자/16세]
---
선생님이 나만 째려보는 것 같아. 발표 준비를 제대로 못 했으니 당연히 틀릴 거고, 망칠 거야.  칭찬은 절대 못 받을 거고,  다들 나를 비웃을 거라고 확신해.  결국 혼날 거야.  내가 뭘 잘못했는지도 모르겠어.  아무것도 잘 안 되는 것 같아.
",GEMINI,2,2,2,2,2,3
'해야 한다' 진술,"[여자/18]
---
고3인 나는 봉사활동을 해야 한다는 생각에 힘들다.  가고 싶지 않은데, 안 가면 친구들이 나를 이상하게 볼까 봐 걱정이다.  내가 괜히 갔다가 봉사활동 분위기를 망치면 어쩌지?  그냥 집에 있고 싶은데…  해야만 하는 일들이 너무 많아.
",GEMINI,2,2,2,3,3,3
성급한 판단,"[여자/17]
---
점심시간, 4반 앞을 지나는데, 그 남자가 나를 쳐다보지도 않았다.  분명 내가 먼저 인사했는데.  아, 역시 내가 맘에 안 드는 거야. 예쁜 애들이 많은 4반에서 나 같은 애는 눈에 띄지도 않겠지.  친구들도 다 싫어할 거고.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[남자/14]
---
축구부 오디션 결과를 기다리는 중이다.  떨어질 것 같아.  내가 너무 못하니까.  키도 작고, 발도 느리고. 아무리 노력해도 소용없을 거야.  다른 애들은 다 잘하던데.  결국 난 벤치 멤버겠지.
",GEMINI,2,3,2,2,2,3
과잉 일반화,"[여자/16세]
---
시험도 망쳤고, 친구도 멀어졌다.  발표도 망하고,  심지어 좋아하는 동아리 활동도 잘 안 풀린다.  모든 게 다 엉망인 것 같아.  내 인생은 실패할 운명인가 봐.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/17]
---
수업시간에 걔랑 눈이 마주쳤어. 설마 나 좋아하는 건 아니겠지?  아무리 봐도 다른 애들이랑 얘기하는 모습만 보이는걸.  내가 고백하면 엄청 이상하게 생각할까?  친구도 없는데, 혼자 짝사랑하는 것 같아서 너무 초라해.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[여자/15]
---
친구들이 웃으며 나에게 말을 걸었지만, 내 여드름 흉터가 보였을까봐 불안했다.  분명 이상하게 생각했을 거야.  예쁜 애들 옆에 있으니 더 못생겨 보였겠지.  아무도 날 좋아하지 않을 거야.
",GEMINI,2,3,2,3,3,3
'해야 한다' 진술,"[남자/17]
---
고등학교에 와서 야간 자율학습을 해야만 한다는 생각에 시작했지만, 왜 해야 하는지 모르겠다.  내 미래를 위해서라고 생각하지만,  막막하고 재미없다.  결국 딴짓만 하고, 성적은 떨어지고,  나는 또 실패자라는 생각에 휩싸인다.  해야만 한다는 강박감에 짓눌린다.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[남자/17]
---
어제 버스에서 실수로 할머니 가방을 밟았다.  순간 얼굴이 붉어졌고, 할머니께서 괜찮다고 하셨지만, 계속해서 내가 무례했던 것 같다는 생각에 괴로웠다.  분명 나쁜 의도는 없었는데,  할머니는 나를 싫어하게 된 걸까?  내가 괜히 죄책감에 시달리는 건 아닐까?  잠도 제대로 못 잤다.
",GEMINI,2,2,3,2,3,3
흑백 사고,"[남자/15세]
---
선생님이 칭찬했지만, 기분이 좋지 않다.  내 성격 탓에 칭찬이 곧바로 잊힐 것 같다.  나는 늘 이렇게,  좋은 일도 순식간에 나쁜 기억으로 바뀐다.  결국엔 모든 게 쓸모없는 일이 될 거야.  다시 짜증만 남을 뿐.
",GEMINI,3,3,2,3,3,3
부정적 편향,"[여자/15세]
---
새 학기 첫날, 낯선 얼굴들 속에서 나 혼자 섬처럼 떠 있었다.  내 찢어진 눈 때문에 모두 날 무서워하는 것 같았다.  아무도 말을 걸지 않고,  수군거리는 소리만 들렸다.  분명 내 얼굴 때문일 거야.  친구도 못 사귈 것 같아.  결국 혼자 점심을 먹었다.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/18]
---
방과 후, 텅 빈 연습실에 앉아 피아노 건반을 쓸어봤다.  내가 잘 할 수 있을까?  입시,  대학,  미래…모두 불안하기만 하다.  내 작곡 실력은 부족하고,  결국엔 모두에게 실망만 안겨줄 거야.  나는 아무것도 아닌 존재일 뿐이다.
",GEMINI,2,3,3,3,3,3
흑백 사고,"[여자/18]
---
수능 성적이 발표됐다.  내가 원하는 대학은 커트라인에 턱걸이였는데, 아슬아슬하게 떨어졌다.  재수?  아니면 다른 길?  둘 중 하나만 선택해야 하는데,  어느 쪽도 옳지 않은 것 같다.  완벽하게 실패한 기분이다.  망했다.
",GEMINI,2,3,2,2,3,3
부정적 편향,"[여자/15]
---
점심시간, 혼자 도시락 먹는데 또 시끄러워. 저 셋은 맨날 붙어 다니고, 나 빼고.  어차피 저들끼리만 재밌는 거겠지.  내가 끼어들 자리가 아냐.  봄방학까지 겨우 참아야지.  다들 나랑 안 친한 게 분명해.
",GEMINI,2,3,3,3,3,3
확대와 축소,"[남자/17]
---
중간고사 성적표를 받았다.  국어 점수 하나 때문에 망쳤다고 생각한다.  전부 틀린 것 같고,  다시는 잘할 수 없을 것 같다.  한 과목 때문에 모든 게 무너지는 기분이다.  내 인생은 끝장났다.
",GEMINI,2,2,3,2,3,3
개인화,"[여자/15세]
---
어제 소희가 또 나 빼고 밥 먹었어.  내가 먼저 같이 먹자고 했는데도.  걔는 항상 그래.  내가 뭘 잘못했는지 모르겠어.  다른 애들이랑 잘 지내는 모습 보면 배신감 느껴.  내가 뭘 더 잘해야 좋아할까?  나만 싫어하는 건 아닐까?
",GEMINI,2,3,3,2,3,3
흑백 사고,"[남자/17]
---
친구들은 다 짝을 이뤄 웃고 떠드는데, 나는 혼자 점심 먹었다.  아무도 나랑 밥 먹자고 하지 않았다.  역시 나는 외톨이다.  다른 애들은 다 친구가 많은데, 나는 왜 이렇게 혼자인 걸까.  내가 뭔가 잘못한 건가?  아무도 날 좋아하지 않는 것 같다.
",GEMINI,3,3,2,2,3,3
흑백 사고,"[여자/15세]
---
걔가 날 버렸어.  새 친구랑 웃는 모습을 봤어.  내가 잘못한 게 뭐지?  모든 게 다 내 탓인가 봐.  절교해야 할까?  아니면,  내가 더 잘해야 할까?  하지만,  걔는 이미 돌아올 수 없어.  다 끝났어.
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/17]
---
새 학기 첫날, 낯선 얼굴들 속에서 나 혼자만 섬처럼 떠 있었다.  아무도 나에게 말을 걸지 않았다.  분명 내가 부족해서일 거야.  모두 나를 싫어하는 거겠지.  친구는 커녕, 아는 사람 하나 없을 거라는 생각에 가슴이 답답해졌다.  이 학교에 온 건 최악의 선택이었어.
",GEMINI,2,3,3,3,3,3
성급한 판단,"[여자/14]
---
중학교 입학식 날, 낯선 얼굴들 속에서 혼자 서 있었다.  아무도 나에게 말을 걸지 않았다.  분명 나를 싫어하는 거야.  다들 나를 무시하고 있고, 친구도 못 사귈 거 같아.  결국 혼자 점심을 먹었고,  하루 종일 눈물만 났다.
",GEMINI,2,2,2,2,2,3
성급한 판단,"[남자/17세]
---
면접장에 들어서자 긴장이 몰려왔다.  다른 지원자들은 모두 자신감 넘쳐 보였다.  내가 떨어질 거란 생각에 휩싸였다.  아무도 나에게 말을 걸지 않을 것이고, 혼자 남겨질 거라는 불안감에 휩싸였다.  결국, 아무 말도 못하고 면접을 망칠 것 같다.
",GEMINI,3,3,2,3,3,3
개인화,"[여자/12세]
---
친구들이 내 그림 실력을 비웃었어.  내 그림이 형편없다는 소리를 듣고 나니, 내가 아무리 노력해도 괜찮아질 리 없다는 생각이 들었어.  다들 나를 무시하는 것 같고, 혼자 남겨진 기분이야.  내 그림은 정말 형편없어. 아무도 날 좋아하지 않아.
",GEMINI,2,2,2,2,2,3
성급한 판단,"[여자/14]
---
수업 후, 유진이가 다른 애들과 웃으며 가는 걸 봤다.  평소처럼 나랑 같이 안 가는 게 왠지 서운했다.  내가 먼저 말을 걸지 않은 게 화근이었나?  아마 내가 싫어진 게 분명해.  결국 혼자 조용히 집으로 향했다.  유진이와의 관계가 틀어진 것 같아 마음이 무겁다.
",GEMINI,3,3,3,3,3,3
감정적 추론,"[여자/15세]
---
새로운 옷을 입고 등교했는데, 친구들이 수군거리는 것 같았다.  내 옷이 너무 과해 보였나?  다들 나를 이상하게 쳐다보는 것 같아서 마음이 불편했다.  분명 나 싫어하는 티를 내고 있을 거야.  아무도 나랑 말 안 걸면 어쩌지?
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/15세]
---
모둠 발표 준비 중인데, 민지는 자꾸 딴짓만 해.  준비물도 안 가져왔고,  내가 맡은 부분도 제대로 안 하네. 아,  결국 발표 망치겠다.  다 민지 때문이야.  다른 애들은 다 잘하는데.
",GEMINI,3,3,3,2,3,3
성급한 판단,"[남자/15세]
---
수학 선생님이 내 답을 틀렸다고 찍찍거렸어.  내가 뭘 잘못했는지 설명도 안 해주고.  분명 나 싫어하는 거야.  다른 애들한테는 친절하면서.  내가 뭘 잘못했기에 날 그렇게 싫어하는 걸까.  학교에 다니기 싫어.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/15]
---
친구들이랑 싸웠어.  내가 실수로 밀었는데,  다들 나를 째려보고 귓속말을 하더라.  아무도 나랑 안 놀아.  전에도 그랬어.  내가 뭘 잘못했는지 모르겠어.  다 내 탓인가 봐.  이젠 아무도 날 좋아하지 않을 거야.  혼자야.  항상 혼자야.
",GEMINI,2,3,2,2,3,3
흑백 사고,"[남자/18세]
---
수능 망쳤고, 대학도 별로라 앞날이 캄캄해.  토익 점수도 잘 나오지 않으면 아무것도 할 수 없을 것 같아.  열심히 해도 소용없을 것 같다는 생각이 계속 든다.  결국 실패할 거야.  나는 쓸모없는 사람일 뿐이야.
",GEMINI,2,3,2,3,3,3
성급한 판단,"[여자/17]
---
고3인 내년이 걱정이다.  내 성적으론 원하는 대학에 갈 수 없을 것 같아.  합격할 리 없어.  열심히 해도 안 될 것 같고,  결국엔 재수할 거야.  다른 애들은 다 잘하는데 나만…  나는 안 될 거야.
",GEMINI,2,3,2,2,3,2
감정적 추론,"[남자/17세]
---
헤어진 후,  SNS에  쓸쓸한  글을  올렸더니  친구들이  걱정하며  연락했어.  내  마음을  알아주는  것 같아  고마웠지만,  그들의  위로가  내  상처를  더  깊게  만드는  것  같아.  다  내  탓인가 봐.  아무도  날  이해하지  못해.
",GEMINI,3,3,2,2,3,3
개인화,"[여자/14]
---
내가 잘못한 건 아닌데….  민지가 내 험담을 했다고 화를 내더니,  결국 내가 사과해야 했어.  내가 뭘 잘못했는지 모르겠어.  다 내 탓인가?  모두 나를 싫어하는 걸까?  이젠 아무하고도 말 섞기 싫어.
",GEMINI,2,3,3,2,3,3
'해야 한다' 진술,"[여자/15세]
---
짝꿍 민준이가 또 시험지를 뺏어 봤다. 내 답이 하나 틀렸다고, ""어휴, 이것도 틀리다니!"" 놀렸다.  내 점수가 낮은 게 아니고, 그 애가 잘난 척하는 거다.  나는 꼭 1등을 해야만 한다. 그래야 그 애를 이길 수 있다.  내가 뭘 더 잘해야 할까?
",GEMINI,2,3,3,3,3,3
성급한 판단,"[남자/18세]
---
시험 성적표를 받았다.  수학 3등급.  망했다.  경찰대는 이제 완전히 물 건너갔어.  내신 4등급에 수학 3등급이면…  아예 포기해야겠지.  다른 길은 생각도 안 해봤어.  어차피 안 될 거니까.
",GEMINI,2,3,2,2,3,3
성급한 판단,"[여자/15]
---
새 학기라 반 배정이 걱정이다.  친구들이랑 다른 반이 되면 나 혼자 남을 것 같아. 전학 온 애는 금방 친구를 사귀던데…  나만 늦는 것 같고,  다른 애들은 다 친한 친구끼리 붙어 있을까봐 무서워.  아무도 나랑 안 놀아주면 어쩌지?  새 학년이 벌써 두렵다.
",GEMINI,3,3,3,3,3,3
과잉 일반화,"[남자/14]
---
또 혼났다.  이번엔 체육시간에 공 던지는 걸 잘못했다고.  선생님 눈에는 내가 항상 문제아로 보이는 것 같다.  아마 다른 애들도 나를 싫어할 거야.  어차피 나는 뭘 해도 안 될 거야.  다 망했어.
",GEMINI,2,3,2,2,2,3
성급한 판단,"[여자/12세]
---
처음 본 순간부터 저 애는 싸가지 없다고 생각했다.  시험지를 훔쳐봤다는 소문도 들렸다.  분명 내 험담을 하고 다닐 거야.  저런 애랑 친해지면 안 돼.  결국, 나랑 걔, 둘 중 하나만 남을 거야.
",GEMINI,3,3,2,3,3,3
과잉 일반화,"[여자/16세]
---
친구들이 옷 잘 입는다고 칭찬했지만,  내 옷차림은 늘 마음에 안 들어.  어제도 그랬어.  아무리 옷을 골라도  어울리는 옷이 없어.  결국  옷장에 쌓인 옷들을 보며  나는 옷 입는 감각이 없는 사람이라고 생각했어.  다 망했어.
",GEMINI,2,3,3,2,3,3
개인화,"[여자/14]
---
수업시간, 쌤이 내 쪽만 쳐다보는 것 같아.  내가 뭘 잘못했나, 혹시 내가 말실수라도 한 건가 계속 불안해.  다른 애들은 웃고 떠드는데 나만 혼자 긴장하고 있으니, 더 이상해 보이는 걸까?  결국 아무도 나랑 안 놀고… 다들 나를 싫어하는 걸까?
",GEMINI,2,3,2,2,3,3
과잉 일반화,"[여자/14]
---
점심시간, 혼자 도시락 먹었다.  옆 테이블 아이들의 웃음소리가 날카롭게 들렸다.  아마 나 때문에 웃는 거겠지.  내가 뭘 잘못했을까?  다시는 혼자 앉지 말아야지.  모두 나를 싫어하는 걸까?  이 학교에선 친구를 못 사귈 거야.
",GEMINI,2,3,2,2,3,3
성급한 판단,"[여자/15세]
---
어제 친구 수지가 내 험담을 했다는 말을 들었어.  수지 표정이 이상했고, 다른 애들이 웃었거든.  분명 나 욕했을 거야.  친구들이 나랑 안 놀아주는 것도 다 수지 때문일 거고…  내가 뭘 잘못했는지도 모르겠고, 너무 속상해.  아무도 날 안 좋아하는 것 같아.
",GEMINI,2,2,3,2,2,3
과잉 일반화,"[여자/15세]
---
수업 후, A와 B가 웃으며 먼저 가버렸어.  나랑은 말도 안 하고.  걔네는 항상 같이 다니고, 나만 빼고 웃고 얘기하는 것 같아.  아마 나 싫어하는 거겠지.  다른 애들도 나랑 안 친하게 지내려 할 거야.  혼자가 될 것 같아.  내가 뭘 잘못했을까.
",GEMINI,2,3,3,3,3,3
감정적 추론,"[여자/15]
---
고등학교 입학식,  친구들이 활기차게 인사하는 모습에 나만 움츠러들었다.  내가 너무 소극적으로 보일까 걱정돼서 말도 제대로 못 붙였다.  분명 나댄다고 생각할 거야.  친구는커녕 아무도 나랑 말 안 걸어주면 어쩌지?  괜히 왔나 싶다.
",GEMINI,3,3,3,3,3,3
성급한 판단,"[여자/15세]
---
친구 수진이가 내 그림을 보고 웃었어.  장난인 줄 알았는데,  진짜 못 그렸다고 생각하는 걸까?  내 그림 실력이 형편없다는 증거야.  아무도 날 좋아하지 않을 거야.  수진이랑도 끝인가 봐.
",GEMINI,2,2,2,2,3,3
감정적 추론,"[여자/16세]
---
치마를 입고 체육대회에 참가했는데,  내 허벅지가 너무 굵어 보였다.  다른 친구들은 다 날씬한데, 난 왜 이렇게 뚱뚱할까?  내가 뭘 잘못했길래 이런 벌을 받는 걸까?  모두 나를 비웃는 것 같아 창피하고 숨고 싶었다.
",GEMINI,3,3,2,3,3,3
감정적 추론,"[여자/17]
---
시험 성적표를 받았다. 80점이 넘는 과목이 하나도 없다.  내가 뭘 잘못한 걸까?  분명 열심히 공부했는데,  다 망친 것 같다.  아무래도 나는 공부 머리가 없는 건가 봐. 앞으로도 절대 잘할 수 없을 거야.
",GEMINI,2,3,3,2,3,3
