Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
낙인찍기,"[여자/15세]
---
새로 전학 온 나와 친구들이 어울리지 않아. 그애가 낮 동안 화장실에 계속 가더라구. 나랑 친구들이 말도 걸지 않고 피하더라. 이런 애랑 사진 찍기 싫어, 나만 따로 찍힐까봐 걱정돼.",CLAUDE,2,3,2,2,2,2
과잉 일반화,"[여자/16세]
---
자신감 없이 새로운 친구를 사귀려 노력했지만, 또래들과 어색해지고 소외감이 느껴져 힘들어했다. 이번엔 다시 친구가 돼줄 사람이 없을 것 같아 걱정되었다.",CLAUDE,2,2,2,2,3,3
흑백 사고,"[남자/15세]
---
내겐 그 여자밖에 없어. 세상에 다른 여자들이 있지만, 나에겐 딱 그 여자만이 특별하다. 그녀가 날 거절했다니 어쩌지? 다른 선택지는 없어, 그녀 없이는 안돼.",CLAUDE,3,3,3,2,3,2
성급한 판단,"[남자/16세]
---
새 학기 첫날, 낯선 학교에서 한 학생이 다가왔다. 어떤 의도일지 모르겠고, 혹시 괴롭힘으로 이어질까 걱정된다. 다른 친구들도 그 학생을 피하는 것 같아 더욱 어려울 것 같다. 학교 생활이 힘들어질 수도 있겠어.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[여자/15세]
---
새로 전학 온 학교에서 혼자 앉아있어요. 친구들은 서로 친해 보이고, 저만 혼자 있어 보입니다. 점심시간에도 혼자 앉아있어 보이는 제가 너무 외로워요. 이번엔 다시 친구를 못 사귈까 걱정돼요.",CLAUDE,2,3,3,2,3,2
과잉 일반화,"[남자/17세]
--- 
새 반에 성가신 애들이 있어 좌절했지만, 새 담임 선생님의 학원 금지 방침에 자퇴까지 고민하게 됩니다. 학원이 없으면 성적 하락이 두려워 앞날이 불안합니다.",CLAUDE,2,2,2,2,2,2
감정적 추론,"[여자/17세]
---
이 오리엔테이션은 너무 길고 낯선 사람들과 함께해야 해서 걱정돼. 아무도 모르는 이 새로운 환경에서 내가 어울리지 못할까봐 두렵다. 친구들도 없이 가면 정말 이상할 것 같아.",CLAUDE,3,3,3,3,3,3
'해야 한다' 진술,"[여자/16세]
---
수학 문제에 대한 두려움이 커서 공부만 해야 할 거 같아요. 그런데 음악도 보고 영화도 보고 싶은데, 잘하는 친구들이 너무 많아 어떻게 해야 할지 모르겠어요. 고등학교에서 적응하려면 어떻게 해야 할까요?",CLAUDE,3,3,3,2,2,2
감정적 추론,"[여자/15세]
---
친구가 또 거짓말을 했다. 이럴 거면 그냥 잊고 지내는 게 나을까? 이제 누구를 믿어야 할지 모르겠어. 그런데 혹시 내가 오해하고 있는 건 아닐까? 친구의 사과를 받아들여야 할지 고민이다.",CLAUDE,3,3,3,3,3,3
감정적 추론,"[여자/16세]
---
게가 불법적으로 제 물건을 가져갔는데, 내 말을 들으려 하지 않아요. 이러다 블로그에서 욕을 먹을 지도 모르겠어요. 어떻게 해야 할지 모르겠네요. 결국 이렇게 피해만 볼 것 같아요.",CLAUDE,2,3,2,2,2,2
부정적 편향,"[여자/16세]
---
남자친구랑 사귀기 시작했지만, 뭔가 달라진 건 없어. 친구랑 문자할 때는 기분이 좋은데, 남자친구랑은 그냥 그래. 사귄다고 하기도 부끄럽고, 잘못됐다는 소리만 들을 것 같아.",CLAUDE,3,2,2,2,3,2
성급한 판단,"[여자/16세]
---
공부하다 보니 점점 배가 나오더라. 고1때는 말랐다고 들었는데, 역시 공부를 하다 보니 살이 찌는 건가 봐. 점점 뱃살이 늘어나 엎드려 자기도 불편해졌어. 어떻게 하면 배를 빼낼 수 있을까?",CLAUDE,3,2,3,2,2,3
성급한 판단,"[여자/15세]
---
새로운 동아리에 들어갔지만, 다른 회원들은 저를 무시하는 것 같아요. 내가 재미있게 활동하려고 해도 그들이 배척하는 것 같아 답답하고 너무 좌절돼요. 이대로는 소외감만 커질 뿐이네요.",CLAUDE,2,2,3,2,2,3
감정적 추론,"[여자/16세]
---
내일 면접이 있는데, 서류가 제대로 되어있지 않을까봐 걱정되네요. 면접 합격도 어려울 것 같아요. 이러다 좋은 기회를 놓치는 건 아닐까요?",CLAUDE,3,3,3,2,3,3
흑백 사고,"[여자/15세]
---
시험 성적이 좋지 않아 선생님께 미래에 대해 물어봤어요. 하지만 제가 원하는 직업은 이미 늦었다고 하셨죠. 더 이상 다른 선택지가 없다고 생각하며 포기하고 싶어졌어요.",CLAUDE,2,3,3,2,3,2
확대와 축소,"[여자/16세]
---
제가 좋아하는 그 남자는 다른 애들에게도 인기가 많아서 저 혼자만 그를 좋아하는 게 아닌 것 같아요. 이대로 계속 멀어질까 봐 걱정돼요.",CLAUDE,3,3,3,2,2,3
성급한 판단,"[여자/17세]
---
영어 수업 시간, 선생님께 혼자 인사드리면 늘 고개를 돌리시는데 다른 친구들은 받아주시는 걸 보니 왜 나만 그러시는지 이해가 되지 않습니다. 선생님이 저를 싫어하시는 건 아닐까요?",CLAUDE,3,3,3,3,3,2
성급한 판단,"[여자/15세]
---
성적이 생각보다 낮아 엄마께 혼날까 봐 무섭습니다. 엄마가 화가 나셨을 것 같아 집에 오시면 혼내실 거라 예상됩니다. 성적을 올리지 못하면 매를 맞을지도 모르겠어서 걱정이 됩니다.",CLAUDE,3,3,3,2,3,2
개인화,"[여자/15]
---
엄마와 동생의 다툼을 보면 내가 모든 것의 원인인 것 같다. 가정 형편이 힘들어지면서 우리 가족은 점점 멀어지는 것 같아 죄송하고 미안할 뿐이다.",CLAUDE,3,3,3,2,3,3
낙인찍기,"[여자/18세]
---
친구에게 마음을 꺼냈다가 레즈가 아닐까 걱정돼. 역겨울까봐 숨기고 있지만, 내가 좋아하는 사람 앞에선 모질게 대하게 돼. 사회에서 레즈로 취급받기 싫어 고백도 못하고, 우정인지 사랑인지 헷갈려.",CLAUDE,3,3,2,2,2,2
성급한 판단,"[여자/15세]
---
학교에서 다른 친구들이 나를 웃기게 볼까 걱정돼. 최근에 눈물을 많이 흘렸는데 다들 나를 한심하게 여길 거야. 감정을 조절하기 힘들어서 자꾸 울게 되는데, 이러다 애들에게 못살게 구는 애로 보일까봐 겁이 나.",CLAUDE,3,3,3,2,3,3
'해야 한다' 진술,"[여자/16세]
---
항상 플릇 연주에서 가장 잘한다고 말하지만, 옆 사람이 실수하면 내가 혼나는 일이 많아 스트레스가 심해요. 플릇 연습과 결과 때문에 힘들고, 화가 자주 나서 감정을 조절하기 어려워요.",CLAUDE,3,2,2,2,2,2
감정적 추론,"[여자/15세]
---
입가에 미소를 머금고 사진을 찍었지만, 거울을 보니 왼쪽으로만 입이 올라가 있어 보인다. 친구들이 나를 비웃는 것 같아 불안하다. 내 모습이 이상하게 보이는 게 괴롭다.",CLAUDE,3,3,3,2,3,3
긍정 축소화,"[여자/15세]
---
제가 공부도 잘하고 운동도 잘하는 건 아니지만, 그렇다고 완전 못하지도 않아요. 이렇게 되니 제가 어떤 진로를 선택해야 할지 막막해요. 이대로는 아무것도 못할 것 같아 걱정돼요.",CLAUDE,3,2,3,2,2,3
성급한 판단,"[여자/15세]
---
친구들이 저 좋아하는 거 같다고 해요. 하지만 그 남자애가 제게 무관심한 것 같아요. 그래도 혹시 다른 생각을 하고 있을지도 모르겠네요. 전 그저 그가 저를 싫어하는지 좋아하는지 알 수가 없어요.",CLAUDE,3,3,3,2,2,2
'해야 한다' 진술,"[여자/17세]
---
학업에 집중해야 하지만, 귀찮은 친구가 계속 나를 괴롭히네. 하지만 나는 그 친구를 거절하지 못하고 따라가고 있어. 이렇게 시간을 낭비하다 보니 공부는 더욱 뒷전이 되어가고 있어.",CLAUDE,3,3,3,2,2,2
성급한 판단,"[여자/17세]
---
저는 4반에 있는 그 소년에게 관심이 있지만, 매일 그를 보아도 관심이 없어 보이는 것 같아요. 제가 그리 예쁘지도 않은데도 소개와 고백을 많이 받았지만, 결국 질리게 되더라구요. 이번엔 저도 고백을 할 수 없을 것 같아요.",CLAUDE,3,2,2,2,2,2
성급한 판단,"[남자/14세]
---
중1 때 좋아했던 여자애가 날 피하는 것 같아. 내가 키가 작고 마른 편이라 그런가 봐. 하지만 운동하면 좋아질 거야. 그럼 그 애가 날 좋아해줄 수 있겠지..?",CLAUDE,3,2,3,2,2,2
과잉 일반화,"[여자/16세]
---
시험에서 항상 잘 하던 나였는데 요즘 성적이 계속 떨어져요. 부모님은 맞벌이라 거의 집에 없고, 친구들도 나를 피하는 것 같아 고독합니다. 운동부 선발에서도 탈락했고, 반려동물 마저 잃어버려 행복한 일이 전혀 없어요. 앞으로 내 인생은 영원히 이렇게 불행할 것 같아요.",CLAUDE,2,3,3,3,3,2
성급한 판단,"[여자/16세]
---
같은 반 친구가 나에게 관심이 있나 봐. 하지만 그 친구가 다른 좋아하는 사람이 있는 것 같아. 내가 고백하면 어떨까? 이상할까? 아니면 그냥 친해져야 할까?",CLAUDE,3,2,3,2,2,3
부정적 편향,"[여자/15세]
---
벌써 여름 방학이 끝났어. 학교에 가면 친구들이 또 나를 이상하게 볼까 봐 걱정돼. 여드름 때문에 내 얼굴이 보기 싫어져. 예쁜 친구들이 부럽고, 나는 남자들이 관심 없을 것 같아.",CLAUDE,3,3,3,2,3,2
'해야 한다' 진술,"[남자/15세]
--- 
공부해야 한다는 강요에 지쳐가고 있어요. 성적도 오르지 않고 미래도 막막해요. 이렇게 계속 해야 하나 싶지만, 부모님께 실망시킬 수는 없어서 어떻게든 버텨야 할 것 같아요.",CLAUDE,3,3,3,2,2,3
성급한 판단,"[여자/17세]
---
버스에서 누군가 내 팔을 건드렸어. 혹시 그 애가 나에게 관심이 있는지 걱정돼. 이런 일이 있으면 계속 그생각에 사로잡혀서 공부도 집중하기 어렵고 잠도 못 잘 정도로 걱정돼.",CLAUDE,3,3,3,2,2,2
흑백 사고,"[여자/16세]
---
아침부터 짜증 나던 날. 친구들이 용기내어 말걸어오지만 내가 대답하지 않자 멀리 가버렸어. 이런 내 성격은 또 어떻게 바꿔야 할지 모르겠다. 늘 어둡고 우울한 내 모습을 벗어나고 싶지만 쉽지 않다.",CLAUDE,3,2,3,2,2,2
부정적 편향,"[여자/16세]
---
우리 반 친구들이 나를 이상하게 쳐다보는 게 싫어. 내 눈이 좀 특이하다고 해서 나를 무서워하는 것 같아. 새 학기 시작했는데 점점 친구들이 멀어지는 것 같아 걱정돼.",CLAUDE,3,3,3,2,3,3
감정적 추론,"[여자/18세]
---
앞으로의 삶이 불확실해져 점점 자신감이 사라져 가요. 과연 남들의 기대에 부응할 수 있을지, 부모님께 부끄럽지 않게 살 수 있을지 걱정뿐입니다. 이런 부담감과 스트레스에 지쳐 정말 힘들어요.",CLAUDE,3,3,3,3,3,3
흑백 사고,"[여자/18세]
---
이번에 원하던 진학 결과가 나왔지만, 결정하기가 쉽지 않아요. 스튜어디스가 꿈이지만, 다른 두 전공도 포기하기 아까워 갈등하고 있습니다. 시간이 얼마 남지 않아 걱정이 돼요.",CLAUDE,3,2,3,3,2,3
부정적 편향,"[여자/16세]
---
중학교 3년차인 나는 여전히 겉보기엔 친구들이 많지만 내심 솔직히 그들과는 깊이 있는 관계가 아니에요. 서로 이해하기도 어렵고 감정기복이 심해서 친구들이 내게 마음을 열지 않는 것 같아 힘들어요.",CLAUDE,3,3,3,2,3,3
확대와 축소,"[여자/17세]
---
학교에 가기 싫어요. 공부해봤자 소용없을 것 같아요. 또래들은 대학 준비에 바쁘지만, 제게는 아무 목표도 없어요. 졸업장도 받지 못하면 어쩌나 걱정돼요. 이렇게 시간만 흘려보내다 보니 정말 후회돼요.",CLAUDE,3,3,3,2,2,3
개인화,"[여자/15세]
---
친구가 날 괴롭히네. 친구들이랑도 잘 어울리지 못하게 하고, 필요할 때만 나를 데리고 다닌다. 언니가 나를 도와주려고 했지만, 오히려 상황만 더 나빠졌어. 혼자서 어떻게 해결해야 할지 모르겠어.",CLAUDE,2,3,3,2,3,3
흑백 사고,"[남자/17세]
---
고등학교에 입학했지만, 여전히 진정한 친구가 없다. 학교 활동에 몰두해도 친구를 사귈 기회가 줄어들어 걱정된다. 공부도 잘하지 못하니 앞으로의 미래가 막막하다.",CLAUDE,3,3,3,2,3,2
흑백 사고,"[여자/16세]
---
저는 그 친구와 오랫동안 친했는데, 갑자기 다른 새로운 친구에게 빠져들더라고요. 그래서 저를 배신했다고 생각했지만, 다시 저에게 돌아왔어요. 그런데 또 다른 친구와 화해했어요. 정말 혼란스러워요.",CLAUDE,2,2,3,2,2,2
과잉 일반화,"[여자/17세]
---
내가 상상했던 고등학교와는 완전히 달랐어. 선배들은 늘 규율을 어기고 있고, 내 반 친구들도 나와는 너무 달라보여. 이런 학교에서 나 혼자 적응할 수 있을까? 나는 여기에 어울리지 못할 거야.",CLAUDE,3,3,3,2,3,3
성급한 판단,"[여자/14세]
---
새로 전학 온 친구들이 나를 무시하는 것 같아. 그들은 서로만 대화하고, 나와는 어울리지 않아. 나는 점점 외로워지고 있어. 휴대폰을 빼앗겨서 친구들과 연락하기도 어려워졌어.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/15세]
---
다른 학교에서 온 애들이 서로 잘 어울리고 있을 텐데, 나는 혼자 어색하게 있을 것 같아요. 친구들을 사귀기가 무서워서 말도 못 걸고 있습니다. 새로운 환경에 적응하기가 너무 두려워요.",CLAUDE,3,3,3,3,2,3
개인화,"[여자/15세]
---
학교에 가지 않았더니, 친구들이 내 뒤에서 내 모습을 비방하더라. 키도 크고 눈도 크지 않은데, 왜 그렇게 말하는지 모르겠다. 내가 서운하거나 속상했을 때는 뒷담화를 한 적이 있지만, 이렇게 직설적으로 말한 적은 없었다. 하지만 친구들은 내 말을 믿지 않고 오히려 비난하고 있다.",CLAUDE,3,3,3,2,2,2
성급한 판단,"[여자/중2]
---
친구가 학교에 오지 않아 걱정되었지만, 금방 다른 애들과 떠들면서 지내는 걸 보고는 친구가 나를 싫어하는 것 같다고 생각했어. 혼자 있는 게 너무 불편하고 힘들어.",CLAUDE,2,3,3,2,2,2
감정적 추론,"[여자/15세]
---
제가 무서운 느낌이 들어서 최근에 까만 재킷을 샀는데, 다른 애들이 저를 불량학생 같다고 해서 마음이 많이 상했어요. 선생님들도 제 이름을 알아보더니 유명하다고 말씀하셔서 정말 슬펐어요. 선생님들에게 안 찍히고 착하게 보이는 방법이 없을까요?",CLAUDE,3,3,3,2,3,2
성급한 판단,"[여자/14세]
---
우리 모둠에 참여하지 않는 친구가 있어요. 숙제와 준비물도 안 해오는데, 선생님께서는 모두 똑같이 대하시네요. 혼자서는 할 수 없는 과제들이 쌓여가고 있어요. 이렇게 계속되다니 정말 막막하네요.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/16세]
---
담임선생님이 저를 싫어하는 것 같아 너무 걱정돼요. 상담을 받고 싶지만 어느 기관에서 전화상담을 해줄지 모르겠네요. 정말 선생님이 날 죽이고 싶어 할까봐 두렵습니다.",CLAUDE,3,2,3,2,2,2
과잉 일반화,"[여자/16세]
---
과거의 실수 때문에 친구들이 날 피하고 있어. 내 말을 들어주지도 않고, 나를 따돌리는 것 같아. 이 상황이 계속될까봐 걱정돼. 앞으로도 이렇게 혼자 지내야 할까?",CLAUDE,2,2,3,2,3,3
흑백 사고,"[여자/18세]
---
수능 점수가 기대에 못 미치자 진학할 대학마저도 만족스럽지 않다. 이대로는 아무것도 이루지 못할 것 같아 영어 공부에 매달리지만, 실력이 늘지 않아 늘 초조하다. 내게는 더 나은 미래가 없을 것 같다.",CLAUDE,3,3,2,2,3,3
성급한 판단,"[여자/17세]
---
이번 학년도 성적이 좋지 않아 간호조무사 자격증을 따기 어려울 것 같아요. 영어도 약해서 학원을 다녀도 혹시 시험에 떨어질까 걱정돼요. 혹시 다른 진로를 생각해볼까요?",CLAUDE,2,2,3,2,2,3
감정적 추론,"[남자/17세]
---
여자친구와 헤어져 속상했지만, 미안하다고 사과했는데도 오해받아 더 화가 났어. 친구들도 모두 나를 피하게 되어 혼자 되버린 것 같아 걱정돼. 이제 어떻게 해야 할지 모르겠어.",CLAUDE,3,3,3,2,2,3
개인화,"[여자/15세]
---
우리 반에 공부를 못하는 친구가 있어. 난 늘 그 친구를 도와주려고 노력했지만, 친구들이 그 친구를 괴롭힌다고 해서 내가 잘못한 것 같아. 선생님도 나를 도와주지 않으시고, 나만 탓하시는 것 같아 너무 억울해.",CLAUDE,2,3,3,2,2,3
'해야 한다' 진술,"[여자/16세]
--- 
친구가 숨은 그림 찾기를 빨리 찾아서 우쭐대네. 내가 조금 더 느리게 찾았다고 관찰력이 없다고 날 비웃었어. 정말 짜증 나지만 참고 있어야지, 이럴 때마다 한 대 쳐버리고 싶다.",CLAUDE,3,3,2,2,2,2
성급한 판단,"[남자/16세]
---
내신 성적이 기대에 못 미치지만, 수능과 경찰대 시험에서 좋은 결과를 내면 아직 꿈을 이룰 수 있을 것이라 생각했다. 하지만 이런 생각은 현실적이지 않아 보인다.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/15세]
---
우리 반에서 친구들이 다른 반으로 자주 가서 점점 홀로 남겨지고 있어요. 새로 전학 온 친구도 다른 반 아이들과 잘 지내는데, 제가 유독 친구가 없어 보일까 봐 걱정돼요. 다른 반 친구들과 어울리고 싶지만, 친한 친구들이 저를 놀릴까 두려워요.",CLAUDE,3,3,3,2,3,3
과잉 일반화,"[남자/15]
---
저희 반에 짜증나는 애들이 너무 많아요. 옆자리로 옮기라고 하고, 점심 반찬도 뺏어먹고, 싫은 일은 다 제게 시킵니다. 이유 없이 때리기도 하네요. 결국 전학갈 수밖에 없을 것 같아요.",CLAUDE,3,3,2,3,2,3
성급한 판단,"[여자/14세]
---
새 학기 첫날, 그 애가 내 눈에 띄더라. 처음부터 싫은 느낌이 들었어. 곧 그 애가 내 뒤에서 나쁘게 말한다는 소문이 돌아. 내가 이 상황을 더 잘 컨트롤할 수 있을 거야. 한 번 마주치면 어떡하지?",CLAUDE,3,3,2,2,3,2
과잉 일반화,"[여자/16세]
---
허벅지가 너무 통통해서 운동해도 살이 안빠져. 주변에서 하체비만이라며 놀려대지만 어쩔 수 없어. 다이어트는 실패하기만 하고 다리만 더 나빠지는 것 같아. 내 몸에 대한 불만이 끝이 없어.",CLAUDE,3,3,3,2,3,2
개인화,"[여자/14세]
---
친구들은 나를 이상하고 재미없다고 생각해. 남자애들도 내가 싫어보이는 것 같아. 나만 소외된 것 같아 속상해. 언제쯤 친구들이랑 진짜 친해질 수 있을까?",CLAUDE,2,3,3,2,2,3
과잉 일반화,"[여자/15세]
---
4월에 전학와서 눈치없어 친구들과 갈등이 생겼어요. 여기 친구들은 유치원부터 알고 지내서 너무 친해, 나는 늘 밖인 것 같아 외롭고 우울해요. 다들 나를 이해하지 못하는 거 같아 죽고 싶어요.",CLAUDE,2,2,2,2,2,2
성급한 판단,"[여자/16세]
---
학교에서 교과서를 잃어버렸어요. 어떻게 해야 할지 모르겠어요. 이제 시험도 앞두고 있는데, 교과서를 새로 사야 할지 모르겠네요. 선생님께 말씀드리면 어떤 반응일지 걱정되네요. 이렇게 중요한 것을 잃어버려서 정말 멍청한 것 같아요.",CLAUDE,2,2,3,2,2,2
과잉 일반화,"[여자/15세]
---
친구 A와 B가 나를 외면하고 있어. A는 내 말을 듣지 않고 B랑만 이야기하고, B도 A에게만 비밀을 털어놓아. 지금은 두 사람 사이에서 제외된 것 같아 모든 친구를 멀리하고 싶어.",CLAUDE,3,3,2,2,3,3
감정적 추론,"[여자/15세]
---
날라리 친구들이 재밌게 노는 것을 보면 내 성격이 너무 내성적이라 걱정돼. 고등학교에 입학하면 활기차게 보이고 싶은데, 혹시 나댄다고 생각될까봐 겁이 나. 친구들 사이에서 눈에 띄게 행동하는 게 어려울 것 같아.",CLAUDE,3,3,3,3,3,3
성급한 판단,"[여자/16세]
---
내가 그 과자 먹은 게 잘못이었나? 왜 그 애는 나에게 화를 내는 걸까? 나는 어떻게 해야 다시 친구가 될 수 있을까?",CLAUDE,3,2,3,2,2,2
감정적 추론,"[여자/16세]
---
허벅지가 너무 고민이야. 운동해도 살이 안 빠져서 너무 속상해. 옷도 잘 안 맞고 주위 사람들이 날 보면 꼭 나를 비웃는 것 같아 자존감이 바닥이야. 내가 이렇게 저주받은 몸매라니 정말 하늘이 날 미워하는 것 같아.",CLAUDE,3,3,3,3,3,2
감정적 추론,"[여자/16세]
---
이 나이에 자격증을 준비하려니 너무 늦어버린 것 같아. 어차피 다른 친구들은 다 대학을 가고 취직도 잘하고 있을 텐데, 나 혼자 공부하느라 시간만 낭비하는 거 같아.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/17세]
---
친구들과 잘 지내는 내가 어째서 또 남자친구에게 혼나나요. 아무것도 잘못한 게 없는데 그는 나를 불신하고 무시하고 있어요. 이렇게 안 좋아지니 앞으로 어떨지 걱정돼요.",CLAUDE,2,2,3,2,2,2
감정적 추론,"[여자/16세]
---
친구랑 다퉈서 후회돼. 내 잘못인 것 같아. 화가 나서 화풀이하는 버릇이 있어. 하지만 늘 잘못된다고 생각하니 답답해. 어떻게 화해하면 좋을까?",CLAUDE,3,3,3,3,3,2
부정적 편향,"[여자/16세]
---
우리 반 친구가 정말 이상해요. 나한테 항상 불평을 늘어놓지만, 내가 더 힘들어하는 것 같아요. 그 애는 공부도 못하면서 남들과 비교하곤 해요. 너무 짜증나요.",CLAUDE,2,3,3,2,3,2
과잉 일반화,"[여자/16세]
---
학교에서 동아리 하고 싶었지만, 나이 때문에 거절당했다. 이래선 평생 어른이 되지 못할 것 같아 너무 슬프다. 취미활동도 못하고 혼자 있어야 할 것 같다.",CLAUDE,2,2,2,2,2,2
흑백 사고,"[여자/18세]
---
수능 끝나고 이뻐지고 싶어 성형수술을 했지만, 별로 달라진 게 없어. 남들은 나보다 못생긴데도 괜찮다나 뭐라던데, 나는 정말 못생겼나 봐. 늘 이렇게 보일 수밖에 없나 싶어 절망스러워.",CLAUDE,3,3,3,2,3,2
성급한 판단,"[여자/15세]
---
친구와 살짝 다퉈서 아직 해결하지 못했어. 오늘 그 친구가 태도가 좀 이상해진 것 같아. 내가 예민한 걸까, 아니면 정말 화가 난 걸까? 혹시라도 화를 내면 속이 편해질까봐 걱정되네.",CLAUDE,3,2,3,2,3,3
과잉 일반화,"[중2 남자]
---
친구들이 날 괴롭히고 싫어하는 것 같아요. 말만 해도 놀림을 당하니 나는 점점 말이 줄어들고 소심해지고 있어요. 큰 덩치인데도 불구하고 이런 취급을 받으니 너무 창피하고 괴롭습니다. 어떻게 해야 친구들이 날 무시하지 않을까요?",CLAUDE,3,3,3,3,3,3
과잉 일반화,"[여자/15세]
---
친구 A가 다른 친구들과 노는 걸 보면 자꾸 내게 욕을 해요. 그래서 그 친구의 연락처를 모두 차단했어요. 이제 A와는 완전히 관계를 끊었지만, 다른 친구들도 이제 날 무서워하는 것 같아 너무 걱정돼요.",CLAUDE,2,2,3,2,2,3
성급한 판단,"[여자/15세]
---
막연히 고등학교 생활이 두렵습니다. 처음 보는 사람들 앞에서 말하기가 어려워 소극적으로 행동할까 봐 걱정돼요. 밝게 보이고 싶지만 내성적인 성격 때문에 또래들에게 답답해 보일 것 같아 걱정이 됩니다.",CLAUDE,3,3,3,3,2,3
개인화,"[여자/15세]
---
친구가 아프다고 하니 나 때문인 것 같아. 내가 옆에서 잔소리하고 싸웠던 것 때문에 더 힘들었나 봐. 죽고 싶다는 말에 가슴이 아프지만, 이 모든게 내 잘못이라고 생각하니 미치겠어.",CLAUDE,3,3,3,3,3,3
성급한 판단,"[여자/16세]
---
아이들이 저를 싫어하는 것 같아요. 선생님께 말씀드리면 애들이 저를 더 미워할 거예요. 엄마에게 말씀드려도 소용없을 것 같고, 언니에게 연락하면 저만 더 피해를 받을 거라 생각합니다. 이제 그냥 혼자 버텨야겠어요.",CLAUDE,3,3,3,2,3,3
