Cognitive Distortion,Generated Story,Generative Model,Gpt Consistency,Gpt Accuracy,Gpt Fluency,Claude Consistency,Claude Accuracy,Claude Fluency
흑백 사고,"[여자/16세]
---
걔가 또 내 책상에 낙서를 했어.  이젠 아예 나 괴롭히는 게 취미인가 봐.  선생님께 말해도 소용없어.  내가 찍소리 안 하면 계속 될 거고, 말하면 더 심해질 거야.  그냥 학교를 그만두는 게 나을까?  어차피 난 아무짝에도 쓸모없는 사람이니까.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/16세]
---
두 남자애가 날 좋아한다는데, 믿을 수 없어.  하나는 공부도 잘하고 친절한 문자를 보내지만, 다른 애는 장난기 많고 학교에서만 잘해줘.  둘 중 하나를 선택해야 한다니, 끔찍해.  내가 좋아하는 사람이 아닌 사람을 선택한다면, 완전 실패자일 거야.  어느 쪽이든, 결과는 최악일 거 같아.
",Gemini,2,2,3,2,2,3
흑백 사고,"[여자/14]
---
새 학교 첫날, 모두 날라리 같았다.  내가 친해지려고 노력해도 소용없을 거야.  망했어.  아무도 나랑 안 놀고, 혼자 점심 먹겠지.  친구는 없을 거고,  왕따 당할 거야.  난 완전히 실패한 거야.
",Gemini,2,3,2,2,3,2
흑백 사고,"[여자/14]
---
아빠는 또 화를 냈다. 내가 잘못한 건 맞지만, 아빠 말투는 늘 그래.  내 말은 듣지도 않고, 무조건 혼만 낸다.  내가 잘못하면 난 망한 거고, 아빠가 잘못해도 난 늘 혼난다.  이젠 아빠랑 말하는 게 두렵다.  엄마는 다르지만, 아빠는…  모든 게 다 끔찍하다.
",Gemini,3,3,3,2,3,3
흑백 사고,"[여자/17세]
---
친구들이랑 쇼핑했는데, 맘에 드는 옷이 없어.  다 별로야.  재밌어야 하는데,  완전 지루해.  다른 친구들은 다 즐거워 보이는데, 나만 혼자인 기분이야.  내일도 이럴까봐 무서워.  모든 게 다 망한 것 같아.
",Gemini,2,2,3,2,3,2
흑백 사고,"[남자/17세]
---
체육시간에 발목을 접질렀다.  깁스 비용만 십만 원이 넘는다.  전액 보상받지 못하면,  나는 엄마에게 엄청 혼날 거다.  결국,  내 인생은 망한 거다.  다른 애들은 멀쩡한데,  나만 이렇게 다치다니.  학교는 아무 책임도 없다고 말할 거야.  내가 뭘 잘못했을까.
",Gemini,2,3,3,2,3,2
흑백 사고,"[남자/17세]
---
고백할까 말까 고민 중이다.  그녀가 날 좋아할 리 없다. 차갑고 예쁜 그녀와 나?  모 아니면 도다.  내가 성공하면 천국, 실패하면 지옥. 친구들은 포기하라지만,  안 될 거 알면서도  고백해야만 한다.  그녀가 날 거절하면,  내 인생은 끝이다.
",Gemini,2,3,3,2,3,3
흑백 사고,"[여자/17세]
---
시험 성적이 90점이 안 되면 낙제생이나 마찬가지야.  계획은 완벽했는데, 실수 하나로 모든 게 망했어.  다시는 잘할 수 없을 거야.  나는 완전 실패자야.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/15세]
---
친구들과 어울리기 힘들어.  A는 날 싫어하고, B와 C는 서로 미워하니까.  내가 잘못한 건 없는데, 모두 나를 멀리할 거 같아.  이 학교 생활은 완전 실패야.  다시는 친구 사귈 수 없을 것 같아.  1년 어떻게 버티지?
",Gemini,2,3,2,2,3,2
흑백 사고,"[남자/17세]
---
시험 결과는 좋지 않았다.  낙제라면 나는 완전히 망한 인생이다.  아버지처럼.  아버지는 사업 실패 후 술에 찌들었고,  결국엔…  내 미래도 이와 다를 바 없을 거야.  그냥 포기해야겠어.  모든 게 끝장이야.
",Gemini,2,3,3,2,3,2
흑백 사고,"[남자/14]
---
친구들이 나를 배신했어.  전부 다 나를 싫어해.  선생님도 나만 괴롭혀.  내가 잘못한 건 사실이지만,  모든 게 다 끝장이야.  살고 싶지 않아.  나는 완전히 망했어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[남자/15세]
---
수업 중 실수로 민준이 발을 세게 찼다.  병원에 갔다는데,  괜찮을까?  괜찮지 않으면?  내 잘못이 크다.  내 인생 망한 거다.  친구도 잃고, 학교도 못 다니고… 끝장이다.
",Gemini,2,3,2,2,3,2
흑백 사고,"[남자/15세]
---
학원 차에서 만난 애들이 또 시비를 걸었다.  같이 타자더니, 내릴 곳에서 안 내려주고 자기들 내리는 곳까지 끌고 갔다.  집까지 바래다 달라기에 어쩔 수 없이 데려다줬더니, 다음 날도 또 같이 타자고 한다.  이젠 얘네 없이는 학원 못 가는 건가?  다 망했어.
",Gemini,3,2,3,2,3,2
흑백 사고,"[여자/16세]
---
엄마는 또 술을 드셨다.  내가 방 청소를 안 했다고 소리를 지르셨다.  하지만 숙제가 많았다.  잘못은 내 탓이고, 엄마는 완벽한 피해자다.  방 청소를 안 한 건 나쁘지만, 엄마는 항상 화를 내니 나는 끔찍한 딸이다.  모든 게 끝장났다.
",Gemini,2,3,2,2,3,2
흑백 사고,"[남자/15세]
---
점심시간, 걔가 또 벌레를 먹었다.  내가 싫어하는 벌레.  저러다 병들면 어쩌지?  친구가 말려도 소용없다.  결국, 걔는 이상하고,  나는 걔랑 아예 안 친해야 해.  아니면, 둘 중 하나다.  내가 괴로워하거나, 걔가 죽거나.
",Gemini,2,3,2,2,2,2
흑백 사고,"[남자/14]
---
인스타 감성 사진 속 멋진 누나들,  내가 좋아하는 건 오직 저런 누나들뿐이야.  저런 누나가 아니면 아무도 날 이해 못 해.  다른 애들은 다 싫어.  내가 원하는 건 저런 누나들 뿐이고, 그렇지 않으면 난 아무것도 아닌 존재야.
",Gemini,2,3,2,2,3,2
흑백 사고,"[여자/18]
---
내일, 고백할 거야.  잘 될까?  잘 되면 행복하고, 실패하면 인생 끝이야.  망하면 친구도, 학교도, 모든 게 다 끔찍해질 거 같아.  그녀와의 3년도, 아무 의미 없어질 거고.  그냥, 망할 것 같아.
",Gemini,2,3,3,2,2,2
흑백 사고,"[여자/15세]
---
수진이와 싸웠다.  내가 잘못했지만, 수진이는 완전히 나쁜 애다.  화해?  절대 안 해.  우리 우정은 끝났어.  수진이 없으면 난 아무것도 아냐.  모든 게 망했어.  다신 친구 못 사귈 거야.
",Gemini,2,3,2,2,2,2
흑백 사고,"[남자/18세]
---
건축학과 합격?  될 리 없어.  스펙이 부족하니까.  수도권 대학은 꿈도 못 꿀 거야.  결국 지방대 갈 거고,  그럼 인생 망한 거나 마찬가지지.  아무것도 안 될 거야.  열심히 해도 소용없어.  나는 이미 실패했어.
",Gemini,1,3,2,2,3,2
흑백 사고,"[여자/18]
---
친구 수현이가 미술 입시 때문에 힘들대.  자살 생각까지 한다니, 충격이야.  그러면서  '나는 절대 그럴 리 없어.' 라고 생각했지만,  수현이가 힘든 건 다 이해가 돼.  결국,  나는 잘 될 거야, 아니면 완전히 망할 거야.  두 가지 중 하나야.
",Gemini,2,3,2,2,3,3
흑백 사고,"[여자/15세]
---
점심시간, 셋은 깔깔거리며 웃어.  나 혼자 남았어.  항상 셋이서만 몰려 다니고,  내가 말 걸면 무시해.  친구?  아니, 이젠 아닌가 봐.  내가 모자라서 그런가?  아니면, 난 그냥 없는 사람인가?  모두 다 싫어하는 걸까?  내가 뭘 잘못한 걸까?
",Gemini,3,3,3,2,2,2
흑백 사고,"[여자/14]
---
수업 후, 소희가 내 장난에 삐쳤다.  재밌게 놀았는데, 갑자기 싸늘해졌다.  내 잘못이 아니라고 생각했는데, 소희는 화가 풀리지 않았다.  우리 우정은 끝인가?  다시는 웃지 못할 것 같다.  내가 잘못한 게 분명한데... 아니면  소희가 나를 싫어하는 걸까?
",Gemini,2,2,3,2,3,3
흑백 사고,"[남자/17]
---
시험을 망쳤다.  모든 게 끝장이다.  재수는 절대 못한다.  게임도, 친구들도, 아무것도 의미 없다.  나는 완전히 실패자다.  학교에 가는 것도, 집에 있는 것도, 어디에도 갈 곳이 없다.  차라리 사라지고 싶다.
",Gemini,2,2,3,2,3,2
흑백 사고,"[남자/14]
---
방과후, 집에 가는 길. 괜히 짜증나.  시험 성적이 좀 낮았거든.  잘하면 A, 못하면 F, 다른 건 없어.  내 인생 망했어.  앞으로도 계속 이럴 거야.  다 의미 없어.  게임도, 친구도.  아무것도.
",Gemini,3,3,3,3,3,2
흑백 사고,"[여자/14] 
---
이번 중간고사, 절대 망칠 수 없어.  잘 보면 칭찬받고, 못 보면 나는 완전 실패야.  열심히 했는데도 성적이 안 좋으면, 내 노력은 아무 의미 없어지는 거고.  그냥 포기해야겠어.
",Gemini,2,3,3,2,3,3
흑백 사고,"[여자/17]
---
검정고시 원서 접수 기간이 끝났대.  망했어.  이젠 대학은 물 건너갔어.  나는 아무것도 할 수 없어.  인생 망했어.  앞으로도 계속 실패할 거야.
",Gemini,2,2,2,2,3,2
흑백 사고,"[남자/15세]
---
시험 끝났다.  성적표 문자는 언제 올까?  빨리 오면 좋겠는데,  늦게 오면 망한 거고.  잘 나오면 다행이고,  못 나오면 내 인생 끝이다.  어차피 희망 없어.  모두 다 망했어.
",Gemini,2,3,2,2,3,2
흑백 사고,"[여자/15세]
---
내일 중간고사인데, 망치면  인생 끝장이야.  잘 보면 성공이고, 못 보면 완전 실패.  희망?  그런 거 없어.  결과는 두 가지뿐이니까.  절대 중간은 없어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/17]
---
학교 복도는 너무 시끄러워.  모두가 웃고 떠드는데 나만 혼자인 것 같아.  친구들과 어울리지 못하면  나는 실패한 거야.  아무도 날 좋아하지 않아.  다 싫어.  모두 거짓말이야.  내가 틀렸어.
",Gemini,2,3,2,2,3,2
흑백 사고,"[남자/17세]
---
선생님 잔소리에 욱했다.  내 인생은 망한 거야.  아무것도 잘하는 게 없어.  친구들도 다 나 싫어할 거고,  앞으로도 계속 이럴 거야.  도망치고 싶다.  모든 게 끝났어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/13]
---
숙제 때문에 엄마한테 혼났어.  내가 뭘 잘못했겠어?  숙제를 제대로 못 했으니까.  결국 난 쓸모없는 아이야.  다른 애들은 다 잘하는데 나만 못하니까.  방학숙제도 못하는 내가 선생님이라니, 말도 안 돼.  완전히 실패야.
",Gemini,2,3,3,2,2,2
흑백 사고,"[여자/15]
---
하루종일 졸았다.  수업시간에도, 집에서도.  결국,  나는 완전히 실패할 거야.  공부는 포기해야 해.  고등학교?  꿈도 못 꿀 일이지.  망했어.  모든 게 끝났어.
",Gemini,2,2,3,2,3,2
흑백 사고,"[여자/17세]
---
친구들은 다 웃으며 수다 떨던데, 나는 혼자 앉아있다.  모두 나를 따돌리는 걸까?  내가 잘못한 게 분명해.  아니면, 내가 아예 친구가 없는 걸까?  어느 쪽이든 끔찍해.
",Gemini,2,2,3,2,3,3
흑백 사고,"[여자/15세]
---
친구랑 싸웠어. 내 잘못인데, 완전히 끝인가 봐.  용서한다더니 계속 연락하고,  화해할 생각은 없어 보여.  다신 친구 못 할 것 같아.  모든 게 망했어.  난 인기 없고, 친구도 없어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/17세]
---
요즘 너무 힘들어. 학교 성적은 괜찮고, 친구들과도 잘 지내.  하지만 밤만 되면 모든 게 끔찍해져.  행복했던 기억은 아무것도 없고, 앞으로도 절대 행복할 수 없을 것 같아.  나는 완전히 실패한 인생일 거야.  아무것도 잘 안될 거야.
",Gemini,2,3,3,3,3,2
흑백 사고,"[여자/17세]
---
수능 추가합격, 희망이냐 절망이냐.  내 성적으론 절대 불가능해.  추가합격이라니,  그냥 장난인가?  결국엔 떨어질 거야.  다른 대학은 이미 늦었고, 재수는 생각도 못 해.  망했어. 완전히 망했어.
",Gemini,2,2,3,3,3,2
흑백 사고,"[여자/14]
---
전학 온 지 두 달. 처음엔 다가와주던 애들이 이젠 날 괴롭혀. 선생님께 말했더니 더 심해졌어.  친구가 되고 싶은 애가 있지만, 걔도 왕따라서 나랑 친해져도 소용없어.  결국 난 혼자인 거야.  모두 나를 싫어해. 아무도 날 좋아하지 않아.
",Gemini,3,3,3,2,3,2
흑백 사고,"[여자/16세]
---
내일 시험인데, 공부는 하나도 안 했다.  잘 볼 수 없을 거야.  망하면 대학도 못 가고, 인생 망칠 거다.  그냥 포기해야겠어.  아무것도 할 수 없어.  모든 게 끝장이야.
",Gemini,1,2,2,2,3,2
흑백 사고,"[남자/19세]
---
옆자리 친구 녀석, 계속 ""형! 형!""거리며 칭찬하거나 장난치는데, 진심인지 아닌지 모르겠어.  괜히 기분 나빠.  저 녀석이 날 싫어하는 건 아닐까?  좋아하는 건지 싫어하는 건지, 둘 중 하나일 텐데.  알 수가 없어.  결국엔 날 싫어하는 거겠지.
",Gemini,2,3,3,3,3,3
흑백 사고,"[여자/16세]
---
시험 점수가 90점이 안 돼서 망했다.  전교 1등 아니면 아무 의미 없어.  다른 과목도 다 망칠 거야.  내 인생은 끝났어.  다시는 좋은 대학 못 갈 거고,  결국 실패한 삶을 살겠지.
",Gemini,1,2,2,2,2,2
흑백 사고,"[여자/15]
---
제주도를 떠나 육지로 이사 간다니, 모든 게 끝장이야.  좋아하는 친구들과 헤어지고, 원하는 고등학교엔 못 가게 됐어.  열심히 공부했는데,  결국 엉망인 학교에 가야 한다니,  내 노력은 아무 의미 없어.  인생 망한 거 같아.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/15세]
---
걔네가 내 마음을 알아줄 리 없어.  짝사랑하는 준영이 옆에 앉히려 조용히 부탁했는데,  소리 지르며 낄낄거리잖아.  완전 무시하는 거야.  내가 뭘 잘못했길래?  친구가 아닌 거지.  모두 나를 싫어하는 거야.  다 끝났어.
",Gemini,2,2,3,2,2,2
흑백 사고,"[여자/16세]
---
시험 망쳤어.  전부 틀렸을 거야.  재수강?  그럼 난 완전 낙제생이야.  다른 애들은 다 잘 봤을 텐데.  내 인생 끝장이야.  아무것도 할 수 없어.  모든 게 다 엉망이야.
",Gemini,1,3,3,2,3,2
흑백 사고,"[남자/15]
---
아빠는 내 성적표를 보고 화를 냈다.  나는 희망이 없고, 공부 못하는 애라고.  잘하거나 못하거나 둘 중 하나일 뿐이라며.  나는 아무것도 아닌 존재가 된 기분이다.  다 끝났어.
",Gemini,3,3,3,2,3,2
흑백 사고,"[남자/15]
---
학원에서 걔랑 또 싸웠다.  내가 먼저 시비를 걸었지만, 걔가 더 세게 나왔다.  결국 난 졌다.  손가락이 부러졌다니 다행이지만, 내가 진거다.  이젠 아무도 나랑 안 놀아줄 거야.  완전 끝장이다.  내 인생 최악의 날이다.
",Gemini,2,2,3,2,3,2
흑백 사고,"[여자/15세]
---
친구들이 웃으니 나도 웃어야 하는 건가?  내 표정이 맘에 안 드는 건 알겠는데,  그냥 멍한 게 편한데.  웃는 얼굴은 가짜 같아.  잘 웃는 애들은 다 가식적인 걸까?  아니면 내가 부족한 걸까?  결국,  나는 혼자인 거야.
",Gemini,3,3,3,2,3,3
흑백 사고,"[여자/15세]
---
걔가 날 좋아한다는데, 아니면 말고!  내가 걔를 좋아한다면 엄청 좋아해야 하고, 아니면 완전 싫어해야 해.  매일 괴롭히는데, 그냥 관심이 없거나, 날 엄청 싫어하는 거겠지.  둘 중 하나야.  어차피 답은 정해져있어.
",Gemini,3,3,3,2,3,2
흑백 사고,"[남자/15]
---
내일 중간고사인데, 아무것도 준비 안 했다.  망했어.  100점 아니면 완전 실패야.  수학, 과학 둘 다 못 보면,  좋아하는 과목도 없고,  앞으로 내 길은 없다는 거잖아.  그냥 포기해야겠다.
",Gemini,2,3,3,2,2,2
흑백 사고,"[남자/14]
---
걔랑 안 놀면 망한 인생인가?  다른 애들이랑 놀아도 재미없어.  걔가 나랑 안 놀아서 그런 거겠지.  내가 걔랑 안 놀면 친구 없는 외톨이가 될 거야.  결국 걔만 친구인 거고.  다 쓸모없어.
",Gemini,2,3,2,2,3,2
흑백 사고,"[여자/14]
---
상담사?  그럼 서울대 의대 나와야 할 거야. 아니면 아예 안될 거고.  내 성적으론…  꿈도 못 꿀 일이지.  나는 그냥 실패할 거야.  망했어.
",Gemini,2,3,2,2,2,2
흑백 사고,"[여자/17세]
---
수행평가 자기소개서?  내 삶의 가치?  모르겠어.  잘 써야 좋은 대학 갈 텐데, 못 쓰면 인생 망하는 거야.  아예 쓸 수 없다면 나는 실패자고,  그냥 포기해야 해.  다 끝장이야.
",Gemini,2,3,2,2,3,2
흑백 사고,"[남자/15]
---
걔네 때문에 또 멍이 들었다.  잘못한 건 나라고?  아니, 걔들이 나쁜 거야.  내가 잘못하면 엄청 혼나고, 걔들은 아무렇지도 않아.  그러니까 난 완전히 망한 거고, 걔들은 계속 잘나가는 거지.  다 끝장이야.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/16세]
---
시험 성적이 기대에 못 미쳤다.  망했다.  다시는 좋은 성적을 받을 수 없을 거야.  모든 게 끝장이야.  살도 빼야 하는데,  아예 안 먹으면 빼겠지만,  그것도 불가능해.  결국 나는 실패자야.
",Gemini,2,2,2,2,3,2
흑백 사고,"[남자/15세]
---
숙제 때문에 유명한 도서관을 찾아야 해.  아무것도 모르겠어.  제대로 못 찾으면 낙제야.  완전히 망하는 거지.  다른 애들은 쉽게 찾을 텐데…  나는 쓸모없는 놈이야.
",Gemini,2,2,3,2,3,2
흑백 사고,"[남자/15]
---
아이디어 컨설턴트?  내가 못하면 인생 망하는 거고,  될 수 있으면 최고일 거야.  문과가 아니면 안 될까?  안 된다면… 난 아예 할 수 없어.  고등학교 선택부터 잘못하면 끝이야.
",Gemini,2,3,2,2,2,2
흑백 사고,"[여자/14]
---
친구가 나 빼고 몰래 놀러 갔대.  내가 뭘 잘못했나?  아무도 나랑 안 놀려고 그런 거겠지.  완전 외톨이야.  다신 친구를 못 사귈 거야.  내 인생 망했어.
",Gemini,2,3,3,2,3,2
흑백 사고,"[남자/15]
---
인문계?  후회막심.  실업계 가고 싶었는데 엄마가 반대하셨다.  결국 인문계 왔지만,  망했다.  전학?  절대 안 될 거야.  인생 망친 거 같아.  다 끝났어.
",Gemini,2,3,2,2,3,2
흑백 사고,"[여자/15세]
---
누가 책상에 낙서를 했어.  선생님은 범인을 찾지 못하면 모두 벌을 받는다고 했어.  내가 했으면 좋았을 텐데. 그럼 모두 나만 싫어할 테니까, 나만 벌을 받으면 끝이니까.  결국 다 내 탓이야.  내가 착했으면 이런 일 없었을 거야.
",Gemini,2,3,3,3,3,2
흑백 사고,"[여자/17세]
---
시험을 망쳤어.  모든 게 끝장이야.  다른 과목도 다 망칠 거고, 대학도 못 갈 거야.  내 인생은 완전히 실패야. 친구들도 날 비웃겠지. 아무것도 잘하는 게 없어.  나는 쓸모없는 존재야.
",Gemini,3,3,3,2,2,2
흑백 사고,"[남자/14]
---
엄마 문자를 봤다.  다른 남자랑 사진도 있었다.  엄마는 나쁜 사람이다.  아빠에게 말해야 하나?  아빠도 실망할 거다.  내가 잘못한 건 없는데, 왜 다 힘든 걸까?  모든 게 끝장인 것 같다.  나는 불행한 아이일 뿐이다.
",Gemini,2,3,3,2,3,2
흑백 사고,"[여자/15세]
---
친구 수진이 또 장난쳤어.  내가 싫어하는 걸 알면서도!  참을 수가 없어.  화해는 절대 없을 거야.  수진이랑은 끝이야.  완전히.  다신 친구 안 할 거야.  내 인생 최악의 날이야.
",Gemini,2,2,3,2,2,2
흑백 사고,"[여자/14]
---
승무원이 되려면 공부를 잘해야 해.  잘 못하면 실패고, 잘 하면 성공이야.  그냥 다 잘해야만 해.  못하면 안될거야.  내 꿈은 절대 이룰 수 없을 거야.  안될 거야.
",Gemini,2,2,2,2,3,2
흑백 사고,"[남자/16]
---
아버지와의 관계는 좋지 않아.  학교 일로 바빠 아버지를 만날 시간이 없어.  아버지가 학교에 오시면 피하고 싶어.  대화는커녕 얼굴 보기도 어색해.  아버지와 친해지는 건 불가능해.  나는 실패한 아들이야.
",Gemini,2,2,3,2,2,2
흑백 사고,"[여자/17세]
---
경찰이 되고 싶어.  하지만 여자라서 불리할 거 같아.  체력시험에 떨어지면, 나는 완전히 실패하는 거고 경찰의 꿈은 끝인 거야.  합격하면 행복하고, 떨어지면 인생 망하는 거지. 다른 길은 생각할 수 없어.
",Gemini,2,3,3,2,3,2
