Cognitive Distortion,Generated Story,Generative Model,Claude Consistency,Claude Accuracy,Claude Fluency,Gemini Consistency,Gemini Accuracy,Gemini Fluency
감정적 추론,"[여자/18세]  
---  
대학 새내기로서 오리엔테이션이 2박3일이라니, 내가 가면 혼자 지내야 할까 봐 너무 걱정돼. 친구도 없고, 잘 적응할 수 있을지 불안해. 안 가도 괜찮을까?",GPT,3,3,2,3,3,3
'해야 한다' 진술,"[여자/17]  
---  
고등학교 적응이 두려워요. 친구들은 모든 과목에서 잘할 거라고 생각하고, 저는 수학 문제만 보면 심장이 뛰어요. 음악을 듣거나 영화 보는 게 더 편한데, 매일 공부하는 데 지칠까 걱정이에요.",GPT,3,3,3,2,2,3
감정적 추론,"[여자/15]  
---  
친했던 친구가 나한테 거짓말했어. 그 친구가 어제 사과를 했지만, 진심인지 의심이 들어. 만약 다시 관계를 회복하면 그 친구와 함께 거짓말한 애와도 화해해야 할까? 정말 고민이야.",GPT,3,3,2,3,3,3
감정적 추론,"[남자/15세]  
---  
친구가 내 게임기를 빌려갔는데, 돌려주지 않아서 욱해버렸어요. 욕설을 듣고 왠지 더 큰 문제가 생길 것 같아 불안해요. 화해하지 않으면 또 비난받겠죠? 어쩌면 좋을까요?",GPT,2,3,2,2,3,2
부정적 편향,"[여자/16]  
---  
남자친구와 사귄지 3일 됐는데 편안한 감정만 느껴져요. 예전 친구와의 대화가 더 설레고 행복한데, 이런 나 때문에 나쁜 사람으로 보일까 걱정돼요. 나 어떻게 해야 할까요?",GPT,2,3,2,2,2,3
성급한 판단,"[여자/18]  
---  
수업 중에 친구들이 나를 쳐다보는 것 같아 불안했어요. 지난 고1 때는 날씬했는데, 이제는 배가 부풀어올라 마치 모든 사람이 나를 비웃는 듯하네요. 어떻게 하면 이 고민을 해결할 수 있을까요?",GPT,3,3,2,2,2,2
성급한 판단,"[여자/15]  
---  
머릿속에서 저만 생각하는 것 같아요. 그녀는 항상 옆반 친구와 어울리고, 저는 그저 그냥 스쳐 지나가는 존재인 것 같아요. 장난치면 싫어하는 눈치고, 왜 이렇게 답답한지 모르겠어요.",GPT,2,3,3,2,2,2
감정적 추론,"[여자/17세]  
---  
알바에 합격했지만 첫 출근을 미루고 다른 일을 하기로 결정했어요. 지금 좋은 기회를 잡을 수 있을까 걱정돼요. 출근 안 한 기록 때문에 면접에서 불이익을 받을까봐 두려워요.",GPT,3,3,2,2,3,3
흑백 사고,"[여자/15세]  
---  
시험 성적이 좋지 않아 친구들과의 대화가 두렵다. 내가 고민을 나누면 모두 성공한 꿈을 이야기하는데, 나는 그저 꿈이 없다. 그래서 나만 혼자인 건가 싶어 마음이 찢어질 듯하다.",GPT,3,3,3,2,3,3
확대와 축소,"[여자/15]  
---  
그 애는 다들 좋아하는 인기남이야. 나는 별 볼 일 없는 에이비형이라 그의 관심을 끌 수 있을지 걱정돼. 다른 친구들은 다 친해지는데, 나는 나 자신이 별로라는 생각만 드네.",GPT,3,2,3,2,2,2
성급한 판단,"[여자/17]  
---  
고등학교 3학년, 친구들이랑 점심을 먹는 동안, 한 친구가 저를 무시하는 것 같아요. 왜 저는 늘 함께하지 않는지 자꾸 고민됩니다. 혹시 저를 싫어하는 걸까요? 혼자 좋아하는 건 무의미한걸까요?",GPT,2,2,3,2,2,3
성급한 판단,"[남자/16세]  
---  
성적 발표가 어제였어요. 평균이 40점이라고 하네요. 아빠가 내일 오는데, 화난 목소리였어요. 70점 넘기기로 했는데, 혼날까 걱정돼서 잠도 못 자고 있어요. 진짜 무서워요.",GPT,3,3,2,2,3,2
개인화,"[남자/14] 
---
가족끼리 자주 싸우는 걸 보면, 내가 뭔가 잘못한 것 같아. 동생과의 사이도 나 때문에 나빠진 것 같고, 어머니가 힘들다는 생각에 마음이 무겁다. 무엇을 해도 죄송한 마음뿐이다.",GPT,3,3,3,3,3,3
낙인찍기,"[여자/18]  
---  
친구 앞에서 항상 자신을 부정적으로 생각해요. 제 마음속 감정이 이렇게 끌리게 될지, 그녀가 알게 되면 얼마나 쪽팔릴까요? 그 애와의 문자에서는 우정 이상의 것이 느껴지는데, 못 받아들이겠어요.",GPT,2,2,2,2,2,2
성급한 판단,"[여자/15]  
---  
발표 도중 갑자기 눈물이 나왔다. 친구들이 나를 신기하게 쳐다보는 게 느껴졌다. '너무 약하게 보일까?' 걱정이 가득해. 이제는 눈물조차 감추기 힘든 내가 한심하게 느껴졌다.",GPT,3,2,3,3,3,2
'해야 한다' 진술,"[여자/16]  
---  
학교 연습실에서 항상 플릇을 제일 잘해야 한다는 압박감 때문에 열심히 하려다 화가 치미고, 친구들 앞에서 스트레스 해소를 못해 집에 가면 사소한 것에도 짜증이 나고 힘든 날들이 반복됩니다.",GPT,2,3,3,2,3,2
감정적 추론,"[여자/16]  
---  
친구와 카페에 갔는데, 사진 찍을 때마다 내 입이 오른쪽으로만 올라가서 괴로워요. 다들 멋지게 웃는데 난 비웃는 것처럼 보여서 막 창피할 것 같아서… 왜 나만 이럴까요?",GPT,3,3,2,3,3,3
긍정 축소화,"[여자/15]  
---  
주말에 친구들 만나면 재미있긴 한데, 항상 뭔가 부족한 느낌이에요. 제가 잘하는 것도 아니고, 남들처럼 특별하지도 않아서, 앞으로 뭘 하며 살아야 할지 막막해요.",GPT,3,2,2,2,2,3
성급한 판단,"[여자/17]  
---  
그가 내 문자를 읽었지만 대답이 없는 걸 계속 생각해. 뭔가 잘못된 건 아닐까? 친구들은 그가 나를 좋아한다고 하는데, 그는 정말 내 마음을 알기나 할까? 불안한 마음이 자꾸 커져.",GPT,2,3,3,2,2,3
'해야 한다' 진술,"[여자/18]  
---  
수업 중 쉬는 시간, 저기서 나를 부르는 그녀. 가고 싶지 않지만, 거절하지 못해 따라나선다. 마음은 불편하고, 모든 게 괴롭다. 내가 찔리는 발언을 했다면 어떡하지? 후회가 밀려온다.",GPT,2,2,2,2,2,2
성급한 판단,"[여자/17세]  
---  
4반에 가면 항상 그 남자를 먼저 찾게 되는데, 절 대 보지도 않고 관심 없어 보이더라구요. 예쁜 친구들도 많으니 애초에 저를 좋아할 리가 없겠죠. 고백은커녕 친해지기도 어려워요.",GPT,3,2,2,2,2,2
성급한 판단,"[남자/14]  
---  
체육 시간, 친구들이 농구할 때 나는 맨 앞에 서지 못했어요. 날씬한 내 몸매가 그렇게 보이니, 내가 공도 못 던질 것 같아 보였을 거예요. 나도 잘하고 싶은데, 다들 나를 무시하겠죠?",GPT,2,3,2,2,2,2
과잉 일반화,"[여자/16]  
---  
시험에서 연달아 실패하고, 친구는 멀어지며, 가족 내 걱정이 커진다. 나의 반려동물까지 떠나자, 내 삶에 행복이 없다와. 이젠 어떤 것을 해도 즐거워지지 않을 것 같다.",GPT,3,3,2,3,3,2
성급한 판단,"[여자/16]  
---  
수업 중 좋아하는 친구를 보니, 다른 사람이랑 친하게 지내는 것 같아서 불안해. 나도 고백하고 싶은데, 그런 말 하기가 너무 쑥스러워. 혹시 거절당하면 어떻게 하지… 계속 고민만 하다가 수업도 못 듣겠어.",GPT,2,3,3,2,2,3
부정적 편향,"[여자/14]  
---  
요즘 친구들이 저를 예쁘다고 해도, 왠지 믿기지가 않아요. 오늘 교실에서 남자들이 저를 쳐다보는 걸 보니 여드름이 신경 쓰였어요. 다른 친구들은 다 예쁜데, 저는 왜 이렇게 이상해 보일까요?",GPT,3,3,3,2,3,3
'해야 한다' 진술,"[남자/17]  
---  
학교에 가면 항상 공부해야 한다는 압박감에 시달려요. 친구들은 잘만 하는 것 같은데, 나는 왜 하는지 모르겠어요. 목표도 없고, 그냥 억지로 하고 있는 느낌이에요. 계속 힘든데 성적은 오르지 않고...",GPT,2,3,2,2,3,3
성급한 판단,"[남자/17]  
---  
버스를 타고 가다가 한 친구와 부딪혔어요. 그 뒤로 ""내가 뭘 잘못했나"" 고민하며 계속 불안해져요. 학교에 가면 그 친구가 나를 싫어하게 된 건 아닌지 걱정이에요. 정말 힘드네요.",GPT,2,3,3,2,2,3
흑백 사고,"[남자/16세]  
---  
어제 친구와 작은 싸움이 있었다. 내 기분이 나쁘고 화가 나자, 나쁜 기분을 계속 가지고 싶었다. 하지만 웃음이 나와서 짜증이 더 났다. 왜 이렇게 자꾸 화가 풀리는 걸까?",GPT,2,3,2,2,2,2
부정적 편향,"[여자/15]  
---  
체육 시간에 축구를 하며 친구에게 내가 자꾸 넘어지자. ""너 진짜 못 하네!""라고 했다. 그런 생각이 머리에서 떠나지 않는데, 나를 더 못 믿게 한다. 애들이 나를 웃기기만 하는 줄 알겠지?",GPT,2,2,2,2,2,2
감정적 추론,"[여자/18]  
---  
고3이라 대학 입시가 정말 큰 스트레스야. 요즘은 친구들이 잘하는 걸 보며 나 자신이 뭔가 부족하다는 생각만 들어. 부모님도 실망하지 않게 노력해야 하는데, 점점 자신감이 없어져. 너무 힘들어.",GPT,3,3,3,3,3,3
흑백 사고,"[여자/18]  
---  
인하대 디자인과도 붙었고, 인하공전 항공운항과도 붙었어요. 둘 다 가고 싶은데, 꿈은 스튜어디스. 고민만 늘고, 결국 어떤 선택도 할 수 없을 것 같아요. 시간은 없는데 너무 힘들어요.",GPT,2,3,3,3,2,3
부정적 편향,"[여자/15세]  
---  
자꾸 나를 피하는 친구가 있어. 나머지 친구들은 괜찮지만, 이 친구는 항상 나를 의심하는 것 같아. 반 갈릴 생각하니 더 외롭고 잘 맞는 친구가 없을까 걱정돼.",GPT,2,2,3,2,2,2
확대와 축소,"[남자/18]  
---  
고등학교 2학년, 친구들과의 갈등으로 힘들었어요. 그 때 학업을 포기했는데, 이제 졸업식이 다가오니 후회가 밀려옵니다. 또래들은 이미 진로를 정했는데, 나는 뒤처진 것 같아 우울해요.",GPT,3,2,3,2,2,3
개인화,"[여자/15]  
---  
어제 수업 중에 가장 친했던 친구와 말다툼이 있었어요. 그 친구가 나를 무시하며 다른 친구들 앞에서 험담했는데, 괜히 내가 잘못한 것 같고 정말 힘들어요. 대체 왜 나만 이러는 걸까요?",GPT,3,3,2,2,3,3
흑백 사고,"[남자/17]  
---  
나는 2학년이 된 후, 친구가 거의 없다는 사실이 더욱 두드러진다. 같이 시간을 보내는 친구는 있지만, 깊은 유대감은 없다. 진정한 친구를 찾는 게 점점 더 어려워지고 불안하다.",GPT,3,3,3,2,3,3
흑백 사고,"[여자/15]  
---  
특별한 사이였던 친구가 다른 친구에게 휘둘리며 변해버렸다. 선택하라는 쪽지를 받고 배신감으로 서럽다. 그러면서도 절교는 상상도 못하고, 그 상태가 계속될까 두려워 힘든 날이 반복된다.",GPT,3,3,3,2,3,2
과잉 일반화,"[여자/16]  
---  
고등학교에서 처음 친구들과의 점심시간이 너무 어색했어요. 다른 애들은 이미 잘 지내고 있는 것 같고, 저는 혼자인다니 이상하게 느껴지네요. 이런 식으로 계속 혼자 지낼 거면 전학 가고 싶어요.",GPT,2,3,2,2,3,2
성급한 판단,"[여자/15]  
---  
학교에서 친구들은 나와 대화하지 않고, 나만 빼고 재미있는 이야기를 나누는 것 같아 우울해져. 이사간 친구가 연락했는데, 짧은 답장에 더 외로워져서 관계 정리하기로 결심했어.",GPT,2,3,2,2,2,2
성급한 판단,"[남자/15]  
---  
전자공고 면접 날, 친한 애들은 다 서부공고 간다. 나는 혼자서 면접 대기 중, 다른 애들이 함께 웃고 노는 모습이 보인다. 잘 지낼 수 있을지 걱정이 돼 멍하니 있다.",GPT,2,3,2,3,3,3
개인화,"[여자/12세]  
---  
어제 아프다고 결석했더니, 친구가 나를 비웃었다고 했다. 걱정 말라며 진짜가 아니라고 말해도, 그들이 믿는 건 오직 소문뿐이다. 나는 항상 잘못된 것만 생각해버린다. 진짜 친구가 아닐까?",GPT,2,3,3,2,2,2
성급한 판단,"[여자/14]  
---  
수업 도중 쟤가 나만 빼고 농담을 나누는 걸 보니 열받아. 내가 괜히 애들 사이에서 불편해진 건 아닐까 싶어. 결국 혼자 점심 먹고, 아무도 나를 걱정하지 않는 것 같아 속상해.",GPT,3,3,3,2,2,2
감정적 추론,"[여자/14]  
---  
오늘 친구들과의 대화가 소외된 느낌이 들었어. 내 옷이 이상하게 보여서 그런가 싶어. 다른 애들이 나를 일진처럼 보지 않을까 걱정하고, 그래서 더욱 말하기 어려워졌어.",GPT,3,3,2,2,3,3
성급한 판단,"[여자/15세]  
---  
모둠 작업 중 한 친구가 지시를 무시하고 제멋대로 행동해요. 나만 힘들고 준비물과 숙제도 챙기지 않아서, 다시 말해도 변하지 않을 것 같아 불안해요. 어떻게 해야 할까요?",GPT,2,3,2,2,2,2
성급한 판단,"[여자/15세]  
---  
친구들 사이에서 내가 무시당하는 것 같아. 수업 중 선생님이 나를 자주 지적하니까, 아마 나를 정말 싫어하는 것 같아. 누군가에게 상담받고 싶지만, 어떤 말을 해야 할지 모르겠어.",GPT,3,3,2,2,2,3
과잉 일반화,"[여자/15]  
---  
어제 체육 시간에 발을 밟았다. 그 친구가 친구들과 나를 멀리하며 수군거린다. 내가 실수했으니 모두 나를 싫어할 것 같아 학급에서도 혼자 지내는 게 슬프고 두렵다.",GPT,2,3,2,2,3,2
흑백 사고,"[여자/18]  
---  
수시 원서를 내러 가는 길, 내 기분은 무거워. 지원한 학교들, 모두 나와는 관계없는 곳 같아. 실패할까 두려워 아무것도 잘할 수 없을까 걱정이 가득해. 이대로 그냥 흘러간다면?",GPT,3,3,3,2,2,3
성급한 판단,"[여자/17세]  
---  
학원에서 공부해야 할 과목이 많아 힘들어. 지금 성적도 안 좋은데, 대학교 가는 게 불가능할 것 같아서 걱정돼. 영어도 잘 못하는데, 과연 내가 성공할 수 있을까?",GPT,2,3,2,2,2,2
감정적 추론,"[남자/17]  
---  
여자친구와 헤어진 후, 술래잡기처럼 마음이 무거워졌다. 내 기분을 나눴지만, 그녀가 내 감정을 오해해 버렸다. 친구까지 잃은 기분, 나에게는 더 이상 회복할 방법이 없는 것 같다.",GPT,2,2,2,2,3,2
개인화,"[여자/14]  
---  
수업 중 유난히 잘하지 못하는 친구와 이야기했어요. 그런데 누군가 그걸 비난하던 걸 들었고, 이제는 그 친구가 나를 피해 다닌대요. 나 때문에 이렇게 된 걸까요? 정말 마음이 아파요.",GPT,2,2,3,2,2,3
'해야 한다' 진술,"[여자/16]  
---  
시험에서 문제를 틀리자 짝이 킥킥거리며 비웃었어요. ""내가 관찰력이 더 뛰어난 것 같아!""라는 말에 속이 뒤집혔습니다. 이제 저도 그냥 슬쩍 상대방의 실수를 지적해보려 해요.",GPT,2,2,2,2,2,3
성급한 판단,"[남자/17]  
---  
고3인 나, 내신 4등급에 경찰대 꿈. 주변 친구들은 다들 잘하는데, 난 불가능한 목표를 향해 가는게 이리 힘든지. 수능을 잘 봐도 한계가 있을 거란 생각만 드니 벅차다.",GPT,3,3,3,2,2,2
성급한 판단,"[여자/15세]  
---  
전학생이 다른 반 친구들을 만나고, 난 혼자인 게 너무 창피해. 내 친구들이 다른 반에 놀러 가면 혼자 남을까봐 걱정이 돼. 친구들 눈치를 보며 학교 가는 게 너무 싫어.",GPT,2,2,2,2,2,2
과잉 일반화,"[남자/14]  
---  
반에서 괴롭힘을 당해요. 친구들이 제 자리를 빼앗고, 제가 싫어하는 일을 시키는 건 일상이 됐죠. 부모님께 말하기엔 제가 잘 지내는 줄 알기 때문에 전학을 가고 싶지만, 어떻게 이야기해야 할지 모르겠어요.",GPT,2,3,3,2,2,3
성급한 판단,"[여자/15]  
---  
첫 시간에 그녀를 보고 성격이 나쁘다고 느꼈어요. 소문이 퍼지면서 날 뒷담화한다며 친구들이 저를 걱정했어요. 혹시 사실일까 고민하면서 저도 그녀에게 뭐라 해야 할지 모르겠어요.",GPT,3,3,2,2,3,2
과잉 일반화,"[여자/15세]  
---  
체육 시간, 친구들이 다 잘하는데 나는 달리기도 힘들고, 다리 살 때문에 더 부끄러워. 진짜 다리만 통통하다며, 하체비만이라 놀림 받는 나 자신이 너무 불행해. 다리만 빼고 싶어.",GPT,2,3,2,3,3,2
개인화,"[여자/15]  
---  
과학실에서 친구들끼리만 웃고 떠드는 모습을 보며, 내가 외면당하고 있다고 느낀다. 남학생들과는 거리감이 느껴져, 아무도 나에게 의지하지 않을 것 같아 초조하다. 이런 서운함이 점점 쌓인다.",GPT,3,3,3,2,2,3
과잉 일반화,"[여자/14]  
---  
전학 온 지 얼마 안 됐는데, 다시 혼자가 된 느낌이에요. 아이들이 저를 그렇게 쉽게 받아주지 않더라고요. 이제 친해지려면 2년은 기다려야 한다고 생각하니 너무 막막해요.",GPT,3,3,3,2,3,3
성급한 판단,"[여자/16]  
---  
금요일에 친구들과 놀이공원 가기로 했어요. 그때마다 예산을 잘 지켰는데, 갑자기 용돈이 빠져나갔어요. 아마 내 지갑을 누가 봤겠지. 친구들이 날 의심할까 걱정돼요. 다시는 그런 실수 하지 말아야지.",GPT,2,2,3,2,2,3
과잉 일반화,"[여자/15세]  
---  
A가 B와 더 친해지는 것 같아 속상해요. A는 저한테 멀리하는 건 아니라고 하지만, B한테 비밀을 말하고 저는 소외된 느낌이에요. 이제는 친구들하고 멀어져야 하나 고민하고 있어요.",GPT,2,3,2,2,3,2
감정적 추론,"[여자/15세]  
---  
고등학교 입학 준비 중인데, 친구들처럼 활기차면 이상하게 보일까 걱정돼. 나도 착한 날라리가 되고 싶은데 내성적인 성격 때문에 망설여져. 어떻게 해야 나다운 모습으로 다가갈 수 있을까?",GPT,3,3,3,3,2,3
성급한 판단,"[여자/15]  
---  
어제 점심시간, 친구가 만든 샌드위치를 나눠 먹으려 했어요. “너무 많이 만들었다”며 장난쳤더니 화내고 나가버렸어요. 제가 먼저 사과했는데, 이제 연락도 안 해요. 어떻게 다시 친해질 수 있을까요?",GPT,2,3,3,2,2,3
감정적 추론,"[여자/15세]  
---  
운동장에서 친구들과 있을 때, 나는 내 다리가 너무 통통해 보여서 자신감이 급격히 떨어졌다. 모두가 날 보면서 웃는 것 같아. 얼마나 수치스럽고 괴로운지, 세상에서 나만 힘든 것 같아.",GPT,3,3,2,2,3,2
감정적 추론,"[남자/18]  
---  
학원에서 친구와 함께 공부하는데, 시험 준비를 혼자서 하느라 힘들어. 2년 걸려 취득한 자격증도 있었지만, 다른 친구들은 더 잘하고 있는 것 같아. 나도 할 수 있을까, 자신이 없어.",GPT,2,2,3,2,2,2
성급한 판단,"[여자/17]  
---  
수업 중 친구들과 떠들었는데, 남자친구가 질투를 하더니 욕을 합니다. 그 이후로 연락이 없어요. 내가 뭘 잘못했는지 모르겠고, 제 친구들이랑 노는 것도 이해 못할 것 같아요.",GPT,3,3,2,2,2,2
감정적 추론,"[여자/16세]  
---  
친구와 작은 오해로 다투었어요. 제가 먼저 미안하다고 했지만, 무시는 당연한 것 같아요. 제가 화를 내서 이럴 일은 변명할 수 없죠. 이제 어떻게 화해하지? 더 이상 연락이 없어요.",GPT,2,3,2,2,3,2
부정적 편향,"[여자/15]  
---  
내 친구는 항상 나보다 잘난 척해. 그녀가 이쁜 척할 때마다, 나는 내가 얼마나 못하고 있는지 실감해. 심지어 내 앞에서 다른 친구랑 나를 비교하기까지 해. 진짜 인내심이 바닥나.",GPT,3,3,2,2,3,2
과잉 일반화,"[여자/16세]  
---  
진학 상담 중 선생님께서 고등학교에서 좋은 대학에 가기 위해 많은 노력을 해야 한다고 하셨어요. 하지만 내 성적과 경험으로는 한계가 있을 것 같아, 또 실패할 것만 같은 불안감이 커져가네요.",GPT,2,3,3,2,2,3
흑백 사고,"[여자/18세]  
---  
대학교에 갔는데 친구들은 다 이쁘고, 나는 별로인 것 같아. 화장도 안 하고 다닐 용기가 없어. 남들이 쌍꺼풀 수술해도 나처럼 안 되는 건가? 정말 참을 수가 없어.",GPT,3,3,2,2,3,2
성급한 판단,"[여자/16세]  
---  
수업 중 친구가 이상하게 구는 것 같아 불안해. 최근에 사소한 다툼이 있었는데, 그걸 해결하지 않고 넘어간 게 자꾸 신경 쓰여. 그 친구가 나를 싫어하게 된 건 아닐까 고민이 커져.",GPT,3,3,2,2,2,3
과잉 일반화,"[남자/15세]  
---  
친구들과 운동할 때 재미있었는데, 요즘은 제가 실수하면 모두 웃습니다. 그러다 보니 점점 말이 없어지고, 체격이 커도 부끄럽습니다. 이제는 아예 운동도 안 가고 혼자 지내고 싶습니다.",GPT,3,3,3,3,3,3
과잉 일반화,"[여자/15]  
---  
운동장에서 친구들과 노는데, ㅇ라는 애가 다른 친구와 놀면서 저를 욕했어요. 한두 번도 아니고, 진짜 불쾌해요. 이 일 때문에 모든 친구들이 저를 싫어할 것 같은 두려움이 드네요.",GPT,2,3,3,2,2,2
성급한 판단,"[여자/14]  
---  
방과 후, 새로운 동아리 소개를 듣고 긴장돼요. 낯선 사람들 속에선 더더욱 말문이 막혀요. 제가 아는 건 다들 활발하고 매력적인 친구들이라, 저처럼 어색한 사람은 상대도 안 할 것 같아요.",GPT,3,3,3,2,2,3
개인화,"[여자/15세]  
---  
시험 준비 중에 친구가 우울하다고 말하더니 날 멀리하고 있어요. 내가 그녀에게 신경 써서 이런 걸까요? 나 때문에 힘들다면 더 이상 연락이 없는 게 나을까? 정말 괴롭습니다.",GPT,2,3,2,2,2,3
성급한 판단,"[여자/16]  
---  
친구들과의 대화가 끊겼습니다. 그들은 저를 무시하는 것 같고, 언제나 외롭습니다. 엄마에게 말하면, 선생님께 알려질까 두려워요. 나를 싫어하는 애들 앞에서 더 수치스러워질까봐 걱정이 큽니다.",GPT,2,3,2,2,2,3
과잉 일반화,"[여자/15세]  
---  
지난 주 남자애들이 내게 싸가지 없다고 떠든 걸 듣고 마음이 무거워. 내가 잘못한 것도 아닌데, 친구들마저 나를 피하는 듯해서 정말 힘들어. 그냥 전학가고 싶어. 여기서 나 혼자 남는 것 같아.",GPT,2,3,3,2,2,3
과잉 일반화,"[여자/14]  
---  
어제 갔던 수학여행에서 친구들이 저만 빼고 즐겁게 노는 걸 보며 마음이 아팠어요. 이제는 저 혼자 남겨진 것 같고, 그들은 전부 저를 잊은 것 같아요. 나만 싫어하는 걸까요?",GPT,2,2,2,2,2,3
개인화,"[여자/16세]  
---  
어느 날, 내가 진짜로 말한 적 없는 비난이 친구들 사이에서 돌기 시작했어요. 알고 보니, a가 내 뒷담화를 꾸며서 b에게 전달했죠. 억울함에 마음이 아파요. 이게 뭐죠?",GPT,3,3,2,2,2,2
