Cognitive Distortion,Generated Story,Generative Model,Gemini Consistency,Gemini Accuracy,Gemini Fluency,Claude Consistency,Claude Accuracy,Claude Fluency
흑백 사고,"[여자/15세]  
---  
시험 하나 못 봤다고 완전히 망쳤다고 생각해. 진로도 이젠 포기해야 할 것 같아. 친구들은 잘하는데 나는 항상 실패하니까, 내 미래는 아예 없는 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15]  
---  
파일럿이 되는 꿈이 있긴 한데, 여기서 떨어지면 그냥 모든 꿈은 끝나는 거야. 다른 친구들은 다 잘하는데, 나는 불가능할 것 같아. 그래서 아무것도 시작할 용기가 나지 않아.",GPT,2,2,3,2,3,2
흑백 사고,"[여자/16세]  
---  
가족이 변하니 내 인생도 완전히 망가진 것 같아요. 새아빠와 가까워지려 해도 무서워서 피하게 돼요. 그가 나를 좋아하긴 하지만, 결국 나를 해칠지도 모른다는 생각만 드네요.",GPT,2,3,3,2,3,2
흑백 사고,"[여자/15]  
---  
친구들은 점점 나를 싫어하는 것 같아. 둘이서만 노는 걸 보면, 나는 항상 외톨이야. 이렇게 되면 평생 혼자일 거라고 느껴. 언제부턴가 내게 좋은 일이 있을 리가 없으니까.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/17세]  
---  
시험을 잘 못 보면 나는 완전히 쓸모없는 학생이야. 친구들은 다들 잘하는데, 나는 항상 실패할 것 같아. 내가 뭐든지 잘할 수 있을 거라는 믿음은 정말 너무 허망해.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15]  
---  
발표 중 얼굴이 빨개지면, 친구들이 나를 웃음거리로 생각할 거야. 만약 네가 실수라도 하면 그냥 끝이야. 내가 잘하지 않으면 모두 나를 무시할 거라고 확신해. 진짜 미칠 것 같아.",GPT,2,2,3,2,3,2
흑백 사고,"[여자/16세]  
---  
제 동생과의 관계는 완전히 깨졌어요. 싸움이 계속 걷잡을 수 없이 커지는데, 이제는 그럴 거면 아예 안 보는 게 낫겠어요. 이렇게 힘들면 가족이 아닌 것 같아요.",GPT,2,3,3,3,2,3
흑백 사고,"[여자/17]  
---  
부모님이 늘 다투셔서 집은 내게 지옥 같아. 오늘도 아빠가 엄마를 크게 소리 질러 쫓아냈다. 가정이 이렇게 망가져버리니, 나도 인간관계에서 실패할 수밖에 없어. 모든 일이 이렇게 나쁠 리가 없어.",GPT,2,2,3,2,3,3
흑백 사고,"[여자/16세]  
---  
어제 친구에게 무시당하니까, 다들 나를 싫어하는 것 같아. 나는 항상 소외받는 존재야. 그런 기분이 드니 앞으로는 누구도 나와 친구가 되지 않을 거야.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/16세]  
---  
학교에서 친구들에게 놀림받는 나는, 정말 못생겨서 그럴 거라고 생각해. 만약 이 모습을 계속 가지면, 평생 외로운 존재일 거야. 아예 친구가 없으면 좋겠다는 생각이 드는 건 괜찮지?",GPT,2,3,2,2,3,2
흑백 사고,"[여자/15]  
---  
내가 사람들에게 다가가면 항상 무시당할 거야. 그러니까 아예 시도할 필요도 없어. 이번엔 친구가 나를 초대하지 않았으니, 앞으로 모르는 사람들 사이에서도 외로울 것 같아. 내가 잘못한 거겠지.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15세]  
---  
누군가 나를 좋아한다고 수군거리면, 그건 확실히 사실이라고 생각해. 만약 내게 호감이 없다면, 차라리 다들 나를 싫어할 거라고 느껴. 그렇게 되면, 나는 완전히 외톨이가 될 것 같아.",GPT,2,2,3,2,2,3
흑백 사고,"[여자/14]  
---  
다른 친구들은 쉽게 사귀고, 나 혼자서는 일주일째 혼자인 것 같아. 만약 이번 학기가 끝나기까지 친구가 없다면, 나는 평생 외톨이로 남을 거야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16]  
---  
아빠가 큰소리로 명령하니, 나는 마치 완전히 무시당한 기분이 들었어요. 이럴 바에야 차라리 아무도 나에게 관심을 두지 말았으면 좋겠어요. 늘 그렇게 밖에 생각할 수 없어요.",GPT,3,2,2,2,3,2
흑백 사고,"[여자/17]  
---  
친구와의 관계가 너무 불안해요. 하나의 대화로 모든 것이 끝날 것 같아요. 그녀가 잠시 나를 무시하면, 분명 나를 더 이상 좋아하지 않는다는 뜻일 거예요.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/16]  
---  
시험에서 점수가 낮으면 나는 완전히 실패한 학생이야. 앞으로의 모든 기회가 사라질 것 같아. 친구들도 나를 멀리할 거고, 나의 학업은 끝났다고 생각해.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/16세]  
---  
사랑에 빠진 사람과 친구가 되기도 힘든 것 같아요. 고백하고 그녀가 나를 싫어하면 끝장일 거예요. 그래서 친구들은 포기하라고 하지만, 포기하면 정말 이 세상에 의미가 없을 것 같아요.",GPT,2,3,2,2,3,2
흑백 사고,"[여자/16세]  
---  
클럽 활동에서 내가 제안한 아이디어가 거부당했어. 이제는 내가 아무런 가치도 없는 존재인 것 같아. 지난번에 잘한 일은 다 의미 없고, 앞으로도 아무도 내 의견을 듣지 않을 거야.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/16세]  
---  
친구와 어울리는데, A는 나를 싫어하고 B는 C를 싫어해요. 다들 나를 무시할 것 같고, 이렇게 힘들면 나중에는 친구가 아무도 없을 것 같아요. 어떻게든 문제를 해결하지 않으면 안 될 것 같아요.",GPT,2,2,2,3,3,2
흑백 사고,"[남자/17세]  
---  
시험 한 번 망쳤다고 생각하니, 내 미래가 다 끝난 것 같아. 친구들도 나를 무능력자로 생각할 테고, 더 이상 노력해도 소용없을 거야. 아예 포기하는 게 나을지도 모르겠어.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15세]  
---  
학교는 이제 내게 지옥 같아요. 한 번의 실수로 모든 친구가 날 싫어하게 되었고, 담임선생님은 나를 의심만 하죠. 절대 정상적인 생활을 할 수 없을 것 같아요.",GPT,2,3,3,2,3,2
흑백 사고,"[여자/16세]  
---  
어제 친구와의 게임에서 저만 계속 졌어요. 앞으로는 절대 이길 수 없을 것 같아요. 정말 너무 못하는 것 같아서 아예 게임을 그만두는 게 낫겠죠?",GPT,1,2,3,2,3,2
흑백 사고,"[남자/16세]  
---  
버스를 기다리는 중 무리의 친구들이 나를 비웃었어요. 그들이 나를 싫어하는 건 분명해요. 다른 사람들도 나를 이렇게 생각할 텐데, 정말 외롭고 슬퍼요. 다들 나를 외면하는 것 같아요.",GPT,2,2,2,2,2,3
흑백 사고,"[여자/16세]  
---  
친구와의 대화가 어색했어. 내가 뭘 잘못했는지 모르겠지만, 이제 모두 날 싫어할 것 같아. 한 번의 실수로 모든 친구들이 떠나가 버리면 어쩌지? 내 인생은 진짜 끝인 거야.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/16세]  
---  
어떤 친구가 사라지면 나 혼자만 바보가 되는 것 같아. 모두 나를 피하는 것처럼 느껴지고, 한 명이 나에게 안 웃으면 모두가 나를 싫어하겠지. 정말 최악이야.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/14세]  
---  
중1이고, 인싸가 되지 않으면 난 아무도 기억하지 않을 거야. 잘생긴 형들이나 잘나가는 애들만 친구가 되는 거지. 난 너희처럼 최고의 순간을 누릴 수 없을 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/18]  
---  
수능 끝나면 커밍아웃할 생각인데, 반 친구들이 내가 좋아하는 사람을 알게 되면 다 나를 비난할 거야. 지금처럼 숨기지 않으면 완전히 고립될 것 같아. 그래서 그냥 그대로 있어야 해.",GPT,2,3,2,2,2,2
흑백 사고,"[여자/16]  
---  
나는 친구들 사이에서 완벽한 모습을 보여줘야 해. 한 번의 실수로 모든 친구가 날 싫어할 거라고 생각해. 그래서 매일 긴장한다. 실수하면 나는 절대 안 될 사람인 걸.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/18]  
---  
건축학과에 가려면 모든 스펙을 완벽하게 갖춰야 해. 만약 조금이라도 부족하면 입학은 불가능할 거야. 친구들이 잘하는 걸 보면 난 절대 그쪽 길에 있을 수 없겠다는 생각이 들어.",GPT,2,2,2,2,2,3
흑백 사고,"[여자/18]  
---  
미술 과제가 잘 안 되니, 아예 나한테 재능이 없는 것 같아. 성공하는 친구들은 다 잘하는데 난 아무것도 못해. 이미 포기한 느낌이야. 이런 상태라면 앞으로도 아무것도 못할 거야.",GPT,2,3,2,2,3,2
흑백 사고,"[여자/16세]  
---  
셋이서만 다니는 걸 보니, 이젠 내가 없는 것 같아. 그들이 웃고 떠드는 걸 보면, 아예 나를 싫어하는 건가 싶어. 예전에 함께 했던 기억이 하나도 없어진 것 같아.",GPT,2,3,2,2,3,3
흑백 사고,"[여자/14세]  
---  
새로 사귄 친구와 계속 장난치다 보니, 한 번의 실수로 완전히 끝장났다고 생각해요. 언제나 즐거운 친구 관계가 이렇게 무너질 것이라니, 결국 아무도 나를 원하지 않게 될까 두렵습니다.",GPT,2,2,2,2,3,3
흑백 사고,"[남자/17]  
---  
기숙사에서 공부를 하지 않으면, 내 인생은 완전히 망가질 것 같아요. 한 번 실패하면 모든 노력이 무의미해지는 느낌이에요. 주변 친구들은 다 잘하는데, 나만 못하면 끝인 듯 합니다.",GPT,2,3,2,2,3,3
흑백 사고,"[여자/15]  
---  
시험에서 한 문제 틀렸다고 해서 나는 실패자야. 친구들이 내게 관심 없다고 느껴지면, 아예 아무도 날 좋아하지 않는 것 같아. 만사 귀찮고, 나에게는 좋은 날이 오지 않을 거야.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/15]  
---  
이번 중간고사에서 점수를 못 받으면 학교에서 쪽팔려서 친구들도 나를 싫어할 거야. 열심히 했다고 해도 결과가 안 좋으면 그건 나의 완전한 실패야. 아무것도 잘할 수 없어.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/17]  
---  
고등학교 진학이 안 된다면 내 인생은 완전히 망인 걸까? 시험 한 번 실패했다고 내가 무능력한 사람처럼 느껴져. 모두가 나를 비웃을 것 같아. 나에겐 다른 선택지가 없어.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15세]  
---  
시험에서 50점을 넘지 못하면 난 절대 좋은 학생이 될 수 없어. 주말 내내 열심히 하는데, 성적은 항상 이 모양이니 나는 실패자라는 거야. 다른 친구들은 항상 잘하던데.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/16세]  
---  
이번 수학 퀴즈에서 틀리면 절대 좋은 학생이 아닐 거야. 이런 실수만 반복한다니, 올해 내내 실패할 것 같아. 나의 모든 노력이 다 무의미해지는 기분이야.",GPT,2,2,3,2,3,2
흑백 사고,"[여자/17]  
---  
친구와의 그룹 프로젝트에서 실수했어요. 이제 나는 팀원에게 완전히 쓸모없는 사람인 것 같아요. 잘해내지 못하면 앞으로 저는 아무 것도 하지 못할 것이라고 생각하니 슬퍼요.",GPT,2,2,2,2,2,3
흑백 사고,"[남자/17]  
---  
사람들이 내 의견에 반대하면, 나는 완전히 무시당한 느낌이 들어. 그럴 땐 모든 친구가 나를 싫어한다고 생각해. 그래서 더 말하지 않게 되고, 나만 외로운 존재가 되는 것 같아.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/14]  
---  
겨울 방학 숙제를 하던 중, 친구가 나의 계획을 조롱했다. 그 모습을 보니, 나의 꿈은 절대 이뤄질 수 없는 것 같은 기분이 들었다. 잘못한 것 같아, 난 앞으로 할 수 있는 게 없을 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15]  
---  
수업 중 졸리다는 건 최악이에요. 학교에서 집중 못하면 모든 성적이 나빠질 거 생각하니, 그냥 실패자처럼 느껴져요. 친구들도 저를 그렇게 볼 거라고 생각하니 더 우울해요.",GPT,2,2,3,2,3,3
흑백 사고,"[여자/16]  
---  
내가 고민을 털어놓지 않으면, 친구들은 나를 완전히 외면할 거야. 이렇게 아무에게도 말하지 않으면 자신을 더욱 고립시키는 것 같아. 결국, 나만 불행해지는 것 같아.",GPT,2,2,3,2,2,3
흑백 사고,"[여자/15세]  
---  
친구와 사소한 다툼이 있었어요. 이제는 완전히 나를 싫어할 것 같아. 그런 기분에 그동안의 우정도 다 무너진 것 같은데, 이렇게 되면 혼자 남게 될 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16세]  
---  
학교 생활이 잘 돌아가고 있지만, 조금만 실수하면 모든 게 다 망했다고 생각해요. 요즘 친구들 사이에서 쳐지는 기분이 드네요. 내가 잘하지 못하면 누구도 나를 좋아하지 않을 거라고 느껴요.",GPT,2,2,2,2,3,3
흑백 사고,"[여자/17세]  
---  
면접에서 한 가지 질문을 잘못 대답했으니, 나는 아예 취업이 불가능한 완전히 무능력한 사람일 거야. 왜 내가 이런 실수를 했는지 이해할 수가 없어.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/14]  
---  
전학 온 후, 모든 친구가 나를 싫어하는 것 같아요. 처음엔 잘 지내다 제게 냉담해지는데, 이제는 혼자 있는 게 당연한 일인 것 같아요. 친구가 없는 건 나만의 문제인 것 같아요.",GPT,2,3,3,2,3,2
흑백 사고,"[여자/15세]  
---  
중간고사 만점 아니면 완전히 실패한 거야. 친구들이 쉬운 과목에서 잘해도, 나는 괜히 나만 못난 것 같아. 앞으로 실패만 하면 내 꿈은 없어질 것 같은 불안이 커져만 가.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/18]  
---  
학교에서 발표를 잘못했으니, 앞으로의 모든 과목에서 나는 늘 저조할 거야. 친구들이 내 실수를 비웃을 테니까, 진짜로 나는 완전히 실패한 학생이야. 잘할 수는 절대 없겠지.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16세]  
---  
다이어트를 결심했지만, 하나도 빠지지 않아 속상해. 그래도 매일 운동하고 있는데, 효과가 없는 것 같아. 이젠 아예 나 같은 사람은 다이어트는 못할 것 같은 기분이야. 정말 기운 빠져.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/15]  
---  
나는 제주도에서 살면서 고등학교 진학이 전부인 줄 알았어. 노력해도 좋은 곳에 못 가면, 다 소용없다고 생각해. 멋진 친구들과 함께할 수 없다면 아예 안 가는 게 나아.",GPT,2,3,3,2,3,3
흑백 사고,"[여자/15세]  
---  
우리 반 민수가 나를 싫어한다고 생각해요. 그냥 내 친구들은 모두 나를 무시할 거예요. 작은 오해로 인해 전부가 나에게 등을 돌릴 것 같아 정말 힘들어요. 이런 생각이 계속 들어요.",GPT,2,2,3,2,2,3
흑백 사고,"[여자/16세]  
---  
시험에서 한 문제 틀렸으니, 이제 완전히 망쳤다고 생각한다. 친구들은 나를 이상하게 볼 거고, 더 이상 나와 친하게 지내고 싶어하지 않을 거야. 모든 게 엉망이 된 것 같아.",GPT,1,2,2,2,2,2
흑백 사고,"[여자/15]  
---  
방과 후 성적을 보고 너무 슬펐어. 아빠가 절대 나를 믿지 않을 거란 생각에 숨이 막혔어. 이런 성적이면 친구들도 나를 무시할 거야. 내 인생은 다시 희망이 없을 거라는 생각이 들어.",GPT,2,3,3,2,3,2
흑백 사고,"[남자/15]  
---  
싸움에서 진 것 같아서 우울해요. 이젠 친구들이 나를 무시할 것 같고, 그래서 혼자 남는 게 두려워요. 아무리 잘해도 이건 끝이겠죠. 무언가 잘못되면 항상 이렇게 되니까요.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15세]  
---  
학교 생활이 힘들어. 친구들이 나를 무시하는 것 같아. 수업에서 손을 들었는데 내 의견이 무시되면, 앞으로 절대 이야기할 수 없을 것 같아. 난 항상 실패하게 될 거야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15세]  
---  
친구가 좋아하는 사람과 잘 안 되면, 나는 절대 사랑을 못할 거에요. 6학년 때 그때처럼 실패할까 두려워요. 아예 애인 없이 사는 게 나을지도 모르겠어요. 이건 정말 불행한 운명이에요.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/15]  
---  
미술 대회에서 떨어졌어. 이제 더 이상 그림을 그릴 필요도 없어. 내가 잘하지 못했으니, 아예 재능이 없는 걸까? 이런 실패를 겪으니 미래에 꿈을 이룰 가능성은 없다 생각해.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15]  
---  
언제부터인가 그 친구와 다툼이 있었어요. 이젠 완전히 나를 무시하는 것 같아요. 다른 사람들과도 가까워졌지만 그 친구와의 우정이 없으니 더는 즐거움이 없네요. 이제는 아무도 믿을 수 없어요.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/14]  
---  
내가 상담사가 되려면 공부를 잘해야 해. 만약 성적이 떨어지면, 나는 절대 상담사가 될 수 없어. 모든 친구들도 나를 무능력하게 볼 거야. 이렇게 실패하면 삶이 끝이라고 생각해.",GPT,2,3,2,2,3,3
흑백 사고,"[여자/16]  
---  
국어 수행 중 자기소개서를 쓰려니, 제대로 못 쓸 것 같아서 두렵고 힘들어. 만약 잘못 쓰면 내 인생이 망칠 거라고 생각해. 이렇게라도 쓰지 않으면 실패자일까 봐 걱정이 계속되네.",GPT,2,2,2,3,3,3
흑백 사고,"[여자/15세]  
---  
학교에서 친구들이 나를 진짜로 싫어하는 것 같아. 조금이라도 나를 무시하면, 모든 사람도 나를 싫어할 거라고 생각해. 나를 괴롭히는 애들과 함께 있는 것만으로도 나에게는 끝없는 고통이야.",GPT,2,3,3,3,3,3
흑백 사고,"[여자/16세]  
---  
운동을 시작했는데, 살이 빠지지 않으면 아예 빼는 건 의미가 없다고 생각해. 친구들은 쉽게 빼던데, 나만 이렇게 힘든 걸 보면 정말 나는 실패자 같은 기분이 들어.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/17]  
---  
이 프로젝트에서 작은 실수를 했으니, 결과가 좋지 않으면 난 완전히 실패한 학생이야. 모든 노력이 헛되고, 돌아가는 길이 막혀서 더 이상 희망이 없어.",GPT,2,2,3,2,2,2
흑백 사고,"[남자/15세]  
---  
성취감은 늘 부족해 보여. 창의성을 높이려 노력했지만, 하나라도 실패하면 나는 아무것도 할 수 없는 사람 같아. 다른 친구들은 성공하는데, 나만 이렇게 고립되는 것 같아.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15]  
---  
시험 하나 망쳤더니, 모든 친구들이 나를 싫어할 것 같아. 이번 전교 회장 선거도 나한테는 불가능해. 나밖에 없는 결정을 찍어줄 사람은 없겠지. 완전히 외톨이가 되는 느낌이야.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/15]  
---  
학원 수업에서 친구들에게 비웃음을 당했어. 이제 누구도 나와 이야기하지 않을 거라고 생각해. 다들 나를 싫어하는 것 같아. 단 한 번의 실수로 모든 친구를 잃게 될 거야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15세]  
---  
우리 반에서 한 친구가 내가 쓴 글에 욕을 해버렸어. 그러고 나서 모든 친구들이 나를 싫어하는 것 같아. 한 사람의 행동으로 모두가 나를 배제하는 것 같은 기분이 드는 건 정말 끔찍해.",GPT,2,2,2,3,3,2
흑백 사고,"[여자/16세]  
---  
시험 한 번 실패했다고 생각해보니, 내 인생은 완전한 실패인 것 같아. 어떻게 이렇게 중요한 걸 놓쳤을까? 앞으로 모든 기회도 다 날아갈 것만 같은 두려움이 제일 무서워.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15세]  
---  
엄마와의 대화는 항상 다투기만 해요. 이렇게 계속 싸우면 우리 가족은 완전히 망할 것 같아요. 아빠와 함께 사는 것이 더 좋았던 것 같은데, 그때처럼 돌아가고 싶어요.",GPT,2,2,3,2,2,3
흑백 사고,"[여자/16]  
---  
친구가 항상 나에게 농담을 던져요. 나를 못생겼다고 생각하는 건지, 이젠 누가 날 좋아할까요? 힘으로 반격할 수도 없고, 아무도 내 기분을 이해해주지 않는 것 같아요.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/15세]  
---  
새로운 친구가 생기면 나를 진짜 좋아할까? 혹시 그 친구가 나를 싫어하면 친구가 모두 나를 외면할 거야. 난 그냥 항상 외롭게 지낼 운명인 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/15]  
---  
아버지가 나와의 대화에 시간을 내주지 않으니, 나는 아예 친해질 수 없다고 생각해. 학교 전교회장인 내가 그걸 원한다면 불가능한 것 같아. 나 혼자만 이렇게 힘든 건가?",GPT,2,2,2,2,3,2
흑백 사고,"[여자/17]  
---  
경찰이 되려는 나에게, 면접에서 떨어지면 모든 꿈이 끝날 것 같아. 현실은 불안해. 나를 믿지 않는 친구들도 이젠 전부 적인 것 같아. 성공이 아니면 실패뿐이야.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/16]  
---  
예전에는 정말 친했지만, 이제는 서로 어색해. 그 친구와 다시 친해지지 않으면 내 인생은 끝일 거야. 내가 그와 웃고 떠들던 기억만 떠오르고, 다시는 그런 날이 오지 않을 것 같아.",GPT,2,2,2,3,3,3
흑백 사고,"[여자/15]  
---  
친구와의 작은 싸움 때문에, 나는 이 우정이 완전히 끝났다고 생각해. 서로의 감정을 상하게 한 건 그 일 때문이지. 너무 오래 지낸 친구와의 관계가 이렇게 쉽게 무너지다니, 나는 정말 힘들어.",GPT,2,3,3,2,2,3
흑백 사고,"[여자/15세]  
---  
중간고사에서 F를 받아버렸어. 이젠 나는 완전히 공부를 못하는 아이야. 친구들은 다 잘할 텐데, 나만 실패한 거니까 아무도 나를 쳐다보지도 않을 거야. 그게 현실이야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/17세]  
---  
정리하지 않으면 집이 엉망이 될 거라고 생각해요. 집중이 흐트러지면 그 즉시 모든 게 끝나는 느낌이 들어요. 정리를 해도 항상 부족한 것 같고, 그럼 다시 시작해야만 해요. 너무 힘들어요.",GPT,2,3,3,3,3,3
흑백 사고,"[여자/17세]  
---  
그녀는 나를 먼저 무시했어. 이젠 다른 모든 친구들도 나를 싫어할 거라고 생각해. 이렇게 외롭게 지내는 건 내가 잘못해서야. 정말 다시는 누군가와 가까워질 수 없을 것 같아.",GPT,2,2,3,2,2,2
흑백 사고,"[여자/16]  
---  
대학교 면접 준비가 너무 힘들어. 면접관이 내 지원 동기를 물어보면, 만약 제대로 답하지 못하면 다 실패한 거야. 나는 잘할 수 없을 것 같아서 스트레스만 쌓여.",GPT,2,2,2,2,3,2
흑백 사고,"[여자/16세]  
---  
한 시험에서 80점을 받았는데, 나머지 점수는 완전히 불합격인 기분이야. 잘한 건 아무것도 아닌 듯하고, 모든 게 망할 것 같아. 나란 사람은 실패한 것 같아.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16]  
---  
선생님이 나한테만 말을 안 걸면, 분명히 나를 싫어하는 거야. 반의 모든 친구들이 나랑 친하지 않은 것 같고, 한 명이라도 나를 무시하면 나는 완전히 외톨이야.",GPT,2,2,2,2,2,2
흑백 사고,"[남자/16]  
---  
친구가 나를 초대하지 않으면 모두가 나를 싫어하는 것 같아요. 수업 중 단 한 번 대답했는데, 선생님이 날 무시했다 생각해요. 절대 친구가 만들 수 있는 좋은 관계는 아닌가 봐요.",GPT,2,2,2,2,3,2
흑백 사고,"[남자/15세]  
---  
수학 경시에서 1등을 해야만 내 존재 가치가 증명된다고 생각했다. 5등이었다면 절대 실패자라며 자책할 정도로 극단적으로 판단한다. 이런 기준으로 저를 계속 괴롭히는 것은 불행한 일인 걸 아는데, 고치기가 힘들다.",GPT,2,3,3,3,3,2
흑백 사고,"[여자/15]  
---  
친구가 생일파티에 안 초대했어요. 이제 그 친구는 나를 싫어하는 거 같아요. 다른 친구들도 날 혼자두고 떠날 것 같아. 난 아무도 믿을 수 없고, 정말 외로워요.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/16세]  
---  
나는 이번 중간고사에서 실패하면 모든 노력이 무의미해질 거라고 생각한다. 친구들은 잘할 것 같은데, 나는 공부를 제대로 하지 못했으니, 결국 나는 한계가 없는 바보일 뿐이야.",GPT,2,2,2,2,2,2
흑백 사고,"[여자/17세]  
---  
수업에 참여하지 못했으니, 이제는 완전히 뒤처진 것 같아. 친구들도 나를 무시할 거고, 이대로는 졸업은 꿈도 꾸지 말아야겠지. 모든 게 엉망이야.",GPT,2,2,3,2,3,2
